"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the O-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or O-1 X-. X-8 O-% O-, O-in O-response O-to O-Friday O-' X-s B-ADJP-6 X-. X-9 I-ADJP-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was B-ADJP-relatively I-ADJP-thin O-at O-an O-estimated O-650 O-million O-shares O-, B-ADJP-though I-ADJP-br X-##isk X-##er O-than O-Monday O-' X-s O-52 X-##6 O-million O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","O-Ad X-##van X-##cing O-issues O-outnumbered O-decline X-##rs O-82 X-##1 X-- X-201 O-, O-with O-103 B-ADJP-unchanged O-."
"But even though Tokyo appears unharmed by recent market volatility, analysts and traders say there are still a few concerns on the horizon.","O-But O-even O-though O-Tokyo O-appears B-ADJP-un X-##har X-##med O-by O-recent O-market O-vol X-##ati X-##lity O-, O-analysts O-and O-traders O-say O-there O-are O-still O-a O-few O-concerns O-on O-the O-horizon O-."
"""Really brave views right now would be foolhardy.""","O-"" O-Really O-brave O-views O-right O-now O-would O-be B-ADJP-fool X-##hard X-##y O-. O-"""
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday O-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large X-- X-capital X-##ization O-issues O-, O-reflecting O-the O-fact O-that O-many O-Tokyo O-investors O-now O-feel B-ADJP-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
"They also are concerned about the persistent strength of the dollar against the yen, as a weaker yen leads to higher import prices in Japan and adds to domestic inflationary pressures.","O-They O-also O-are B-ADJP-concerned O-about O-the O-persistent O-strength O-of O-the O-dollar O-against O-the O-ye X-##n O-, O-as O-a O-weaker O-ye X-##n O-leads O-to O-higher O-import O-prices O-in O-Japan O-and O-adds O-to O-domestic O-inflation X-##ary O-pressures O-."
"Britain's economic fundamentals, he said, ""don't look very bright.""","O-Britain O-' X-s O-economic O-fundamental X-##s O-, O-he O-said O-, O-"" O-do O-n X-' X-t O-look B-ADJP-very I-ADJP-bright O-. O-"""
Merchant banks were stronger across the board.,O-Merchant O-banks O-were B-ADJP-stronger O-across O-the O-board O-.
"S.G. Warburg, a rumored target of some European banking concerns, finished 22 higher at 400.","O-S X-. X-G O-. O-War X-##burg O-, O-a O-rumored O-target O-of O-some O-European O-banking O-concerns O-, O-finished O-22 B-ADJP-higher O-at O-400 O-."
"Brewery stocks were firm to higher on talk of early bargain-hunting, but most ended below their peaks.","O-Brewery O-stocks O-were B-ADJP-firm B-ADJP-to I-ADJP-higher O-on O-talk O-of O-early O-bargain X-- X-hunting O-, O-but O-most O-ended O-below O-their O-peaks O-."
"Bass ended up 3 higher at 966, Guinness closed at 589, down 7, and Scottish & Newcastle dropped 11 to 359, but Whitbread Class A shares rose 17 to 363.","O-Bass O-ended O-up O-3 B-ADJP-higher O-at O-96 X-##6 O-, O-Guinness O-closed O-at O-58 X-##9 O-, O-down O-7 O-, O-and O-Scottish O-& O-Newcastle O-dropped O-11 O-to O-35 X-##9 O-, O-but O-W X-##hit X-##bre X-##ad O-Class O-A O-shares O-rose O-17 O-to O-36 X-##3 O-."
"In other European markets, share prices closed sharply higher in Frankfurt and Zurich and posted moderate rises in Stockholm, Amsterdam and Milan.","O-In O-other O-European O-markets O-, O-share O-prices O-closed B-ADJP-sharply I-ADJP-higher O-in O-Frankfurt O-and O-Zurich O-and O-posted O-moderate O-rises O-in O-Stockholm O-, O-Amsterdam O-and O-Milan O-."
"Paris closed lower, and most Brussels shares were unable to trade for a second consecutive day because of technical problems.","O-Paris O-closed O-lower O-, O-and O-most O-Brussels O-shares O-were B-ADJP-unable O-to O-trade O-for O-a O-second O-consecutive O-day O-because O-of O-technical O-problems O-."
"To make them directly comparable, each index is based on the close of 1969 equaling 100.","O-To O-make O-them B-ADJP-directly I-ADJP-comparable O-, O-each O-index O-is O-based O-on O-the O-close O-of O-1969 O-equal X-##ing O-100 O-."
