"Japanese investors, reassured by Monday's strong rally on Wall Street, erased most of that day's losses on the Tokyo Stock Exchange.","B-NP-Japanese I-NP-investors O-, O-reassure X-##d O-by B-NP-Monday B-NP-' X-s I-NP-strong I-NP-rally O-on B-NP-Wall I-NP-Street O-, O-erased B-NP-most O-of B-NP-that I-NP-day B-NP-' X-s I-NP-losses O-on B-NP-the I-NP-Tokyo I-NP-Stock I-NP-Exchange O-."
But analysts said the rebound didn't remove the cautious mood from the market.,O-But B-NP-analysts O-said B-NP-the I-NP-re X-##bound O-did O-n X-' X-t O-remove B-NP-the I-NP-cautious I-NP-mood O-from B-NP-the I-NP-market O-.
"In London, stocks closed lower in volatile trading as an opening rally was obliterated by worse-than-expected U.S. trade figures.","O-In B-NP-London O-, B-NP-stocks O-closed O-lower O-in B-NP-volatile I-NP-trading O-as B-NP-an I-NP-opening I-NP-rally O-was O-o X-##b X-##lite X-##rated O-by B-NP-worse X-- X-than X-- X-expected I-NP-U X-. X-S X-. I-NP-trade I-NP-figures O-."
"Paris shares had a similar reaction, but most other European bourses posted gains, as did all major Asian and Pacific stock markets.","B-NP-Paris I-NP-shares O-had B-NP-a I-NP-similar I-NP-reaction O-, O-but B-NP-most I-NP-other I-NP-European I-NP-b X-##ours X-##es O-posted B-NP-gains O-, O-as O-did B-NP-all I-NP-major I-NP-Asian I-NP-and I-NP-Pacific I-NP-stock I-NP-markets O-."
Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,B-NP-Tokyo B-NP-' X-s I-NP-Nik X-##ke X-##i I-NP-Index O-of B-NP-225 I-NP-stocks O-jumped B-NP-52 X-##7 X-. X-39 I-NP-points O-to O-close O-at B-NP-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","B-NP-The I-NP-rise O-came B-NP-a I-NP-day O-after B-NP-the I-NP-year B-NP-' X-s I-NP-biggest I-NP-drop O-on B-NP-Monday O-, O-when B-NP-the I-NP-Nik X-##ke X-##i O-fell B-NP-64 X-##7 X-. X-33 O-, O-or B-NP-1 X-. X-8 I-NP-% O-, O-in B-NP-response O-to B-NP-Friday B-NP-' X-s O-6 X-. X-9 O-% B-NP-p X-##lung X-##e O-on B-NP-Wall I-NP-Street O-."
"In early trading Wednesday in Tokyo, the Nikkei index rose 19.30 points to 35015.38.","O-In B-NP-early I-NP-trading B-NP-Wednesday O-in B-NP-Tokyo O-, B-NP-the I-NP-Nik X-##ke X-##i I-NP-index O-rose B-NP-19 X-. X-30 I-NP-points O-to B-NP-350 X-##15 X-. X-38 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On B-NP-Tuesday O-, B-NP-the I-NP-broader X-- X-based I-NP-Tokyo I-NP-Stock I-NP-Price I-NP-Index O-of B-NP-issues O-listed O-in B-NP-the I-NP-first I-NP-section O-, B-NP-which O-fell B-NP-45 X-. X-66 B-NP-Monday O-, O-rose B-NP-41 X-. X-76 O-, O-or B-NP-1 X-. X-61 I-NP-% O-, O-to B-NP-264 X-##2 X-. X-64 O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","B-NP-Trading O-was O-relatively O-thin O-at B-NP-an I-NP-estimated I-NP-650 I-NP-million I-NP-shares O-, O-though O-br X-##isk X-##er O-than B-NP-Monday B-NP-' X-s I-NP-52 X-##6 I-NP-million O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","B-NP-Ad X-##van X-##cing I-NP-issues O-outnumbered B-NP-decline X-##rs O-82 X-##1 X-- X-201 O-, O-with B-NP-103 O-unchanged O-."
