"Japanese investors, reassured by Monday's strong rally on Wall Street, erased most of that day's losses on the Tokyo Stock Exchange.","O-Japanese B-head-investors O-, B-dependent-reassure X-##d O-by O-Monday O-' X-s O-strong O-rally O-on O-Wall O-Street O-, O-erased O-most O-of O-that O-day O-' X-s O-losses O-on O-the O-Tokyo O-Stock O-Exchange O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader O-- O-based O-Tokyo O-Stock O-Price O-Index O-of B-head-issues B-dependent-listed O-in O-the O-first O-section O-, O-which O-fell O-45 X-. X-66 O-Monday O-, O-rose O-41 X-. X-76 O-, O-or O-1 X-. X-61 O-% O-, O-to O-264 X-##2 X-. X-64 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader O-- O-based O-Tokyo O-Stock O-Price O-Index O-of O-issues O-listed O-in O-the O-first B-head-section O-, O-which B-dependent-fell O-45 X-. X-66 O-Monday O-, O-rose O-41 X-. X-76 O-, O-or O-1 X-. X-61 O-% O-, O-to O-264 X-##2 X-. X-64 O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","O-Ad X-##van X-##cing B-head-issues B-dependent-outnumbered O-decline X-##rs O-82 X-##1 X-- X-201 O-, O-with O-103 O-unchanged O-."
"Japanese domestic institutions, including trust banks and investment management firms, that had been on the sidelines during Monday's fall were back in the market, analysts said.","O-Japanese O-domestic B-head-institutions O-, O-including O-trust O-banks O-and O-investment O-management O-firms O-, O-that O-had O-been O-on O-the B-dependent-side X-##lines O-during O-Monday O-' X-s O-fall O-were O-back O-in O-the O-market O-, O-analysts O-said O-."
"The Tokyo rally seemed to confirm the view, frequently expressed in Japan in the past few days, that the drop in New York was a local problem related to merger and acquisition activity in the U.S.","O-The O-Tokyo O-rally O-seemed O-to O-confirm O-the B-head-view O-, O-frequently B-dependent-expressed O-in O-Japan O-in O-the O-past O-few O-days O-, O-that O-the O-drop O-in O-New O-York O-was O-a O-local O-problem O-related O-to O-merger O-and O-acquisition O-activity O-in O-the O-U X-. X-S O-."
"The Tokyo rally seemed to confirm the view, frequently expressed in Japan in the past few days, that the drop in New York was a local problem related to merger and acquisition activity in the U.S.","O-The O-Tokyo O-rally O-seemed O-to O-confirm O-the B-head-view O-, O-frequently O-expressed O-in O-Japan O-in O-the O-past O-few O-days O-, O-that O-the O-drop O-in O-New O-York O-was O-a O-local B-dependent-problem O-related O-to O-merger O-and O-acquisition O-activity O-in O-the O-U X-. X-S O-."
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday O-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large O-- O-capital X-##ization O-issues O-, O-reflecting O-the B-head-fact O-that O-many O-Tokyo O-investors O-now B-dependent-feel O-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
Currency concerns also weigh heavily on interest rate-sensitive stocks such as banking and other financial issues because of fears that Japanese interest rates might have to rise to keep the dollar in check.,O-C X-##ur X-##ren X-##cy O-concerns O-also O-weigh O-heavily O-on O-interest O-rate O-- O-sensitive O-stocks O-such O-as O-banking O-and O-other O-financial O-issues O-because O-of B-head-fears O-that O-Japanese O-interest O-rates O-might B-dependent-have O-to O-rise O-to O-keep O-the O-dollar O-in O-check O-.
"Construction shares that gained included Shimizu, which rose 130 to 2,080.","O-Construction B-head-shares O-that B-dependent-gained O-included O-Shi X-##mi X-##zu O-, O-which O-rose O-130 O-to O-2 X-, X-08 X-##0 O-."
"Construction shares that gained included Shimizu, which rose 130 to 2,080.","O-Construction O-shares O-that O-gained O-included B-head-Shi X-##mi X-##zu O-, O-which B-dependent-rose O-130 O-to O-2 X-, X-08 X-##0 O-."
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than O-40 B-head-points O-a O-half O-- O-hour O-before O-the O-close O-, B-dependent-marking O-a O-61 X-. X-5 O-- O-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first O-15 O-minutes O-of O-trading O-."
