CBS held the previous record for consecutive No.,O-CBS B-head-held O-the O-previous O-record O-for O-consecutive B-dependent-No O-.
"(""Will the Real Jim Please Stand Up?""","O-( O-"" O-Will O-the O-Real O-Jim B-dependent-Please B-head-Stand O-Up O-? O-"""
"The Dallas Morning News, the No.","O-The O-Dallas O-Morning B-head-News O-, O-the B-dependent-No O-."
Showtime is a distant No.,O-Showtime O-is O-a B-head-distant B-dependent-No O-.
"Mr. Paul says, yes, the ceiling in his executive suite is gold-leaf inlay.","O-Mr X-. O-Paul O-says O-, B-dependent-yes O-, O-the O-ceiling O-in O-his O-executive O-suite O-is O-gold O-- O-leaf B-head-in X-##lay O-."
"Yes, they have higher down-payment requirements.","B-dependent-Yes O-, O-they B-head-have O-higher O-down O-- O-payment O-requirements O-."
"Mr. Siegel asked Mr. Freeman who his source was and, on hearing that it was Bunny Lasker, responded: ""Well, your bunny has a good nose.""","O-Mr X-. O-Siege X-##l O-asked O-Mr X-. O-Freeman O-who O-his O-source O-was O-and O-, O-on O-hearing O-that O-it O-was O-Bunny O-Las X-##ker O-, O-responded O-: O-"" B-dependent-Well O-, O-your O-b X-##un X-##ny B-head-has O-a O-good O-nose O-. O-"""
"If, for example, in the midst of a great social occasion (such as an international conference on revising the Versailles Treaty in 1923), one's 72-yearold father, himself a great butler once, should happen to die of a stroke, one must continue to serve the port: ""Please don't think me unduly improper in not ascending to see my father in his deceased condition just at this moment.","O-If O-, O-for O-example O-, O-in O-the O-midst O-of O-a O-great O-social O-occasion O-( O-such O-as O-an O-international O-conference O-on O-re X-##vis X-##ing O-the O-Versailles O-Treaty O-in O-1923 O-) O-, O-one O-' X-s O-72 O-- O-year X-##old O-father O-, O-himself O-a O-great O-butler O-once O-, O-should O-happen O-to O-die O-of O-a O-stroke O-, O-one O-must O-continue O-to O-serve O-the O-port O-: O-"" B-dependent-Please O-do O-n X-' X-t B-head-think O-me O-und X-##ul X-##y O-imp X-##roper O-in O-not O-ascending O-to O-see O-my O-father O-in O-his O-deceased O-condition O-just O-at O-this O-moment O-."
"No, we are not overreacting.","B-dependent-No O-, O-we O-are O-not B-head-over X-##rea X-##cting O-."
The benchmark No.,O-The B-head-bench X-##mark B-dependent-No O-.
"No wonder I say, ""I drink to your health"" --","B-dependent-No B-head-wonder O-I O-say O-, O-"" O-I O-drink O-to O-your O-health O-"" O-- X--"
"""A menu by phone could let you decide, `I'm interested in just the beginning of story No.","O-"" O-A O-menu O-by O-phone O-could B-head-let O-you O-decide O-, O-` X-I O-' X-m O-interested O-in O-just O-the O-beginning O-of O-story B-dependent-No O-."
"1, and I want story No.","O-1 O-, O-and O-I B-head-want O-story B-dependent-No O-."
"Well, apple growers were hurt and many others were needlessly frightened by this news story.","B-dependent-Well O-, O-apple O-grow X-##ers O-were B-head-hurt O-and O-many O-others O-were O-needles X-##s X-##ly O-frightened O-by O-this O-news O-story O-."
