"But even though Tokyo appears unharmed by recent market volatility, analysts and traders say there are still a few concerns on the horizon.","O-But O-even O-though O-Tokyo O-appears O-un X-##har X-##med O-by O-recent O-market O-vol X-##ati X-##lity O-, O-analysts O-and O-traders O-say B-dependent-there B-head-are O-still O-a O-few O-concerns O-on O-the O-horizon O-."
"There's no huge buying,"" said Stephen Hill, head of equity sales at Jardine Fleming Securities Ltd. in Tokyo.","B-dependent-There B-head-' X-s O-no O-huge O-buying O-, O-"" O-said O-Stephen O-Hill O-, O-head O-of O-equity O-sales O-at O-J X-##ard X-##ine O-Fleming O-Securities O-Ltd X-. O-in O-Tokyo O-."
Dealers said there was late talk of a Whitbread sale of brewing operations to Scottish & Newcastle.,O-Deal X-##ers O-said B-dependent-there B-head-was O-late O-talk O-of O-a O-W X-##hit X-##bre X-##ad O-sale O-of O-brewing O-operations O-to O-Scottish O-& O-Newcastle O-.
"""It's a good indication that level of profitability has peaked for the industry,"" says Vahid Fathi, metals analyst with Prescott, Ball & Turben Inc., who had estimated Reynolds would earn about $2.35 a share.","O-"" B-dependent-It O-' X-s O-a O-good B-head-indication O-that O-level O-of O-profit X-##ability O-has O-peaked O-for O-the O-industry O-, O-"" O-says O-V X-##ahi X-##d O-Fat X-##hi O-, O-metals O-analyst O-with O-Prescott O-, O-Ball O-& O-Tu X-##rb X-##en O-Inc X-. O-, O-who O-had O-estimated O-Reynolds O-would O-earn O-about O-$ O-2 X-. X-35 O-a O-share O-."
"Nevertheless, the company said that in the latest quarter there were increased material and labor costs, including a new employee profit-sharing plan.","O-Nevertheless O-, O-the O-company O-said O-that O-in O-the O-latest O-quarter B-dependent-there B-head-were O-increased O-material O-and O-labor O-costs O-, O-including O-a O-new O-employee O-profit O-- O-sharing O-plan O-."
There are about $10 million of 7% bonds priced at 99 1/4 to yield 7.081% in 2004; about $15 million of 7% bonds priced at 98 1/2 to yield 7.145% in 2008; about $88.35 million of 7% bonds priced at 97 1/4 to yield 7.227% in 2018; and about $15 million of 6 3/4% bonds priced to yield 7.15% in 2019.,B-dependent-There B-head-are O-about O-$ O-10 O-million O-of O-7 O-% O-bonds O-priced O-at O-99 O-1 O-/ O-4 O-to O-yield O-7 X-. X-08 X-##1 O-% O-in O-2004 O-; O-about O-$ O-15 O-million O-of O-7 O-% O-bonds O-priced O-at O-98 O-1 X-/ X-2 O-to O-yield O-7 X-. X-145 O-% O-in O-2008 O-; O-about O-$ O-88 X-. X-35 O-million O-of O-7 O-% O-bonds O-priced O-at O-97 O-1 X-/ O-4 O-to O-yield O-7 X-. X-227 O-% O-in O-2018 O-; O-and O-about O-$ O-15 O-million O-of O-6 O-3 X-/ X-4 O-% O-bonds O-priced O-to O-yield O-7 X-. X-15 O-% O-in O-2019 O-.
"There are about $25.6 million of 7.2% term bonds due 2009, priced to yield 7.25%, and about $66.8 million of 7.2% term bonds due 2019, priced at 99 to yield 7.282%.","B-dependent-There B-head-are O-about O-$ O-25 X-. X-6 O-million O-of O-7 X-. X-2 O-% O-term O-bonds O-due O-2009 O-, O-priced O-to O-yield O-7 X-. X-25 O-% O-, O-and O-about O-$ O-66 X-. X-8 O-million O-of O-7 X-. X-2 O-% O-term O-bonds O-due O-2019 O-, O-priced O-at O-99 O-to O-yield O-7 X-. X-28 X-##2 O-% O-."
"""On days that I'm really busy,"" says Ms. Foster, who works in public relations for the company, ""it seems decadent to take time off for a massage.""","O-"" O-On O-days O-that O-I O-' X-m O-really O-busy O-, O-"" O-says O-Ms X-. O-Foster O-, O-who O-works O-in O-public O-relations O-for O-the O-company O-, O-"" B-dependent-it B-head-seems O-decade X-##nt O-to O-take O-time O-off O-for O-a O-massage O-. O-"""
"""But he pulled through, and after the ambulance left, there were still six people in line waiting for a massage.","O-"" O-But O-he O-pulled O-through O-, O-and O-after O-the O-ambulance O-left O-, B-dependent-there B-head-were O-still O-six O-people O-in O-line O-waiting O-for O-a O-massage O-."
"""There's nothing like skin to skin.""","O-"" B-dependent-There B-head-' X-s O-nothing O-like O-skin O-to O-skin O-. O-"""
"""If there's any coincidence about the departures it's that they are leaving at a time when the business is in reasonably good shape and going forward very well.""","O-"" O-If B-dependent-there B-head-' X-s O-any O-coincidence O-about O-the O-departure X-##s O-it X-' X-s O-that O-they O-are O-leaving O-at O-a O-time O-when O-the O-business O-is O-in O-reasonably O-good O-shape O-and O-going O-forward O-very O-well O-. O-"""
Integrated also said it expects to report a second-quarter loss wider than the earlier estimate of about $600 million.,O-Integrated O-also O-said B-dependent-it B-head-expects O-to O-report O-a O-second O-- O-quarter O-loss O-wider O-than O-the O-earlier O-estimate O-of O-about O-$ O-600 O-million O-.
