Industry executives say the columns and cartoons give newspapers consistency and build fierce reader loyalty.,O-Industry O-executives O-say O-the O-columns O-and O-cartoons B-head-give B-dependent-newspapers O-consistency O-and O-build O-fierce O-reader O-loyalty O-.
"Union officials at the Fairfax plant said the company is studying the feasibility of giving the plant another product to build, contrary to GM's original plan.","O-Union O-officials O-at O-the O-Fairfax O-plant O-said O-the O-company O-is O-studying O-the O-f X-##eas X-##ibility O-of B-head-giving O-the B-dependent-plant O-another O-product O-to O-build O-, O-contrary O-to O-GM O-' X-s O-original O-plan O-."
"According to industry lawyers, the ruling gives pipeline companies an important second chance to resolve remaining disputes and take advantage of the cost-sharing mechanism.","O-According O-to O-industry O-lawyers O-, O-the O-ruling B-head-gives O-pipeline B-dependent-companies O-an O-important O-second O-chance O-to O-resolve O-remaining O-disputes O-and O-take O-advantage O-of O-the O-cost O-- O-sharing O-mechanism O-."
Pay raises of 60% over the past three years have given many South Koreans the money to enjoy the things they were supplying the rest of the world.,O-Pay O-raises O-of O-60 O-% O-over O-the O-past O-three O-years O-have B-head-given O-many O-South B-dependent-Koreans O-the O-money O-to O-enjoy O-the O-things O-they O-were O-supplying O-the O-rest O-of O-the O-world O-.
"Bush assured Roh that the U.S. would stand by its security commitments ""as long as there is a threat"" from Communist North Korea.","O-Bush B-head-assured B-dependent-R X-##oh O-that O-the O-U X-. X-S X-. O-would O-stand O-by O-its O-security O-commitments O-"" O-as O-long O-as O-there O-is O-a O-threat O-"" O-from O-Communist O-North O-Korea O-."
"Lenders had doubts about the project even before June 4, but the harsh crackdown, which caused many businesses to reassess their China transactions, ""gave the banks the out they wanted,"" says an official close to the Shanghai venture.","O-Len X-##ders O-had O-doubts O-about O-the O-project O-even O-before O-June O-4 O-, O-but O-the O-harsh O-crack X-##down O-, O-which O-caused O-many O-businesses O-to O-re X-##ass X-##ess O-their O-China O-transactions O-, O-"" B-head-gave O-the B-dependent-banks O-the O-out O-they O-wanted O-, O-"" O-says O-an O-official O-close O-to O-the O-Shanghai O-venture O-."
"Mr. Seidman told the committee that the Resolution Trust Corp., the agency created to sell sick thrifts, has studied Lincoln's examination reports by former regulators dating back to 1986.","O-Mr X-. O-Se X-##id X-##man B-head-told O-the B-dependent-committee O-that O-the O-Resolution O-Trust O-Corp X-. O-, O-the O-agency O-created O-to O-sell O-sick O-th X-##rift X-##s O-, O-has O-studied O-Lincoln O-' X-s O-examination O-reports O-by O-former O-regulator X-##s O-dating O-back O-to O-1986 O-."
"""The Congress government is taking the farmers' bread and not giving us any support.","O-"" O-The O-Congress O-government O-is O-taking O-the O-farmers O-' O-bread O-and O-not B-head-giving B-dependent-us O-any O-support O-."
"And out of necessity: The U.S. can make mistakes and still hope to remove him from power, but a single error on his part could cost him his life.","O-And O-out O-of O-necessity O-: O-The O-U X-. X-S X-. O-can O-make O-mistakes O-and O-still O-hope O-to O-remove O-him O-from O-power O-, O-but O-a O-single O-error O-on O-his O-part O-could B-head-cost B-dependent-him O-his O-life O-."
"Mr. Noriega might have fallen of his own weight in 1988 because of Panama's dire economic situation, says Mr. Moss, but increasing external pressure has only given him additional excuses for repression, and a scapegoat for his own mismanagement.","O-Mr X-. O-Nor X-##ie X-##ga O-might O-have O-fallen O-of O-his O-own O-weight O-in O-1988 O-because O-of O-Panama O-' X-s O-dire O-economic O-situation O-, O-says O-Mr X-. O-Moss O-, O-but O-increasing O-external O-pressure O-has O-only B-head-given B-dependent-him O-additional O-excuses O-for O-repression O-, O-and O-a O-s X-##cape X-##go X-##at O-for O-his O-own O-mi X-##sman X-##age X-##ment O-."
"One Colombian drug boss, upon hearing in 1987 that Gen. Noriega was negotiating with the U.S. to abandon his command for a comfortable exile, sent him a hand-sized mahogany coffin engraved with his name.","O-One O-Colombian O-drug O-boss O-, O-upon O-hearing O-in O-1987 O-that O-Gen X-. O-Nor X-##ie X-##ga O-was O-negotiating O-with O-the O-U X-. X-S X-. O-to O-abandon O-his O-command O-for O-a O-comfortable O-exile O-, B-head-sent B-dependent-him O-a O-hand O-- O-sized O-ma X-##hogany O-coffin O-engraved O-with O-his O-name O-."
"His commanding officer at the Chiriqui Province garrison, Major Omar Torrijos, gave him an intriguing assignment: Mr. Noriega would organize the province's first intelligence service.","O-His O-commanding O-officer O-at O-the O-Chi X-##ri X-##qui O-Province O-garrison O-, O-Major O-Omar O-Tor X-##ri X-##jos O-, B-head-gave B-dependent-him O-an O-intriguing O-assignment O-: O-Mr X-. O-Nor X-##ie X-##ga O-would O-organize O-the O-province O-' X-s O-first O-intelligence O-service O-."
