Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo X-' X-s O-Nik X-##ke X-##i O-Index O-of B-dependent-225 B-head-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo X-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped B-dependent-52 X-##7 X-. X-39 B-head-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the O-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or B-dependent-1 X-. X-8 B-head-% O-, O-in O-response O-to O-Friday O-' X-s O-6 X-. X-9 O-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the O-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or O-1 X-. X-8 O-% O-, O-in O-response O-to O-Friday O-' X-s B-dependent-6 X-. X-9 B-head-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"In early trading Wednesday in Tokyo, the Nikkei index rose 19.30 points to 35015.38.","O-In O-early O-trading O-Wednesday O-in O-Tokyo O-, O-the O-Nik X-##ke X-##i O-index O-rose B-dependent-19 X-. X-30 B-head-points O-to O-350 X-##15 X-. X-38 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader O-- O-based O-Tokyo O-Stock O-Price O-Index O-of O-issues O-listed O-in O-the O-first O-section O-, O-which O-fell B-dependent-45 X-. X-66 B-head-Monday O-, O-rose O-41 X-. X-76 O-, O-or O-1 X-. X-61 O-% O-, O-to O-264 X-##2 X-. X-64 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader O-- O-based O-Tokyo O-Stock O-Price O-Index O-of O-issues O-listed O-in O-the O-first O-section O-, O-which O-fell O-45 X-. X-66 O-Monday O-, O-rose O-41 X-. X-76 O-, O-or B-dependent-1 X-. X-61 B-head-% O-, O-to O-264 X-##2 X-. X-64 O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was O-relatively O-thin O-at O-an O-estimated O-650 B-dependent-million B-head-shares O-, O-though O-br X-##isk X-##er O-than O-Monday O-' X-s O-52 X-##6 O-million O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","O-Ad X-##van X-##cing O-issues O-outnumbered B-head-decline X-##rs B-dependent-82 X-##1 X-- X-201 O-, O-with O-103 O-unchanged O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","O-Ad X-##van X-##cing O-issues O-outnumbered O-decline X-##rs O-82 X-##1 X-- X-201 O-, O-with B-dependent-103 B-head-unchanged O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday O-' X-s B-dependent-88 X-. X-12 O-- B-head-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose B-dependent-19 O-to O-70 X-##5 B-head-ye X-##n O-( O-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n O-( B-head-$ B-dependent-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
London's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5.,O-London O-' X-s O-Financial O-Times O-- O-Stock O-Exchange B-dependent-100 O-- B-head-share O-index O-fell O-27 X-. X-9 O-points O-to O-213 X-##5 X-. X-5 O-.
London's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5.,O-London O-' X-s O-Financial O-Times O-- O-Stock O-Exchange O-100 O-- O-share O-index O-fell B-dependent-27 X-. X-9 B-head-points O-to O-213 X-##5 X-. X-5 O-.
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than B-dependent-40 B-head-points O-a O-half O-- O-hour O-before O-the O-close O-, O-marking O-a O-61 X-. X-5 O-- O-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first O-15 O-minutes O-of O-trading O-."
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than O-40 O-points O-a B-dependent-half O-- B-head-hour O-before O-the O-close O-, O-marking O-a O-61 X-. X-5 O-- O-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first O-15 O-minutes O-of O-trading O-."
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than O-40 O-points O-a O-half O-- O-hour O-before O-the O-close O-, O-marking O-a B-dependent-61 X-. X-5 O-- B-head-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first O-15 O-minutes O-of O-trading O-."
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than O-40 O-points O-a O-half O-- O-hour O-before O-the O-close O-, O-marking O-a O-61 X-. X-5 O-- O-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first B-dependent-15 B-head-minutes O-of O-trading O-."
The narrower Financial Times 30-share index fell 29.6 to 1730.7.,O-The O-narrower O-Financial O-Times B-dependent-30 O-- B-head-share O-index O-fell O-29 X-. X-6 O-to O-1730 X-. X-7 O-.
"Volume was an active 643.3 million shares, about double the recent levels but down from 959.3 million the previous day, which U.K. traders have dubbed ""Manic Monday.""","O-Volume O-was O-an O-active O-64 X-##3 X-. X-3 B-dependent-million B-head-shares O-, O-about O-double O-the O-recent O-levels O-but O-down O-from O-95 X-##9 X-. X-3 O-million O-the O-previous O-day O-, O-which O-U X-. X-K X-. O-traders O-have O-dubbed O-"" O-Man X-##ic O-Monday O-. O-"""
The unexpectedly wide U.S. August trade deficit of $10.77 billion hit an already jittery U.K. market in midafternoon.,O-The O-unexpectedly O-wide O-U X-. X-S X-. O-August O-trade O-deficit O-of B-head-$ O-10 X-. X-77 B-dependent-billion O-hit O-an O-already O-ji X-##tter X-##y O-U X-. X-K X-. O-market O-in O-mid X-##aft X-##ern X-##oon O-.
"He said the current market ""is all about sentiment, and the sentiment in London is 90% anxiety and worry.""","O-He O-said O-the O-current O-market O-"" O-is O-all O-about O-sentiment O-, O-and O-the O-sentiment O-in O-London O-is B-dependent-90 B-head-% O-anxiety O-and O-worry O-. O-"""
"Morgan Grenfell, which has been mentioned in takeover rumors, rose 20 to 392 pence ($6.18) a share.","O-Morgan O-G X-##ren X-##fell O-, O-which O-has O-been O-mentioned O-in O-takeover O-rumors O-, O-rose B-dependent-20 O-to O-39 X-##2 B-head-pen X-##ce O-( O-$ O-6 X-. X-18 O-) O-a O-share O-."
"Morgan Grenfell, which has been mentioned in takeover rumors, rose 20 to 392 pence ($6.18) a share.","O-Morgan O-G X-##ren X-##fell O-, O-which O-has O-been O-mentioned O-in O-takeover O-rumors O-, O-rose O-20 O-to O-39 X-##2 O-pen X-##ce O-( B-head-$ B-dependent-6 X-. X-18 O-) O-a O-share O-."
"S.G. Warburg, a rumored target of some European banking concerns, finished 22 higher at 400.","O-S X-. X-G X-. O-War X-##burg O-, O-a O-rumored O-target O-of O-some O-European O-banking O-concerns O-, O-finished B-dependent-22 B-head-higher O-at O-400 O-."
"Hambros rose 5 to 204, and Schroders rose 25 to #12.75.","O-Ham X-##bro X-##s O-rose O-5 O-to O-204 O-, O-and O-Sc X-##hr X-##ode X-##rs O-rose O-25 O-to B-head-# B-dependent-12 X-. X-75 O-."
"On the corporate front, Ford Motor announced that it raised its stake in U.K. luxury car maker Jaguar to 10.4% from 5%.","O-On O-the O-corporate O-front O-, O-Ford O-Motor O-announced O-that O-it O-raised O-its O-stake O-in O-U X-. X-K X-. O-luxury O-car O-maker O-Jaguar O-to B-dependent-10 X-. X-4 B-head-% O-from O-5 O-% O-."
"On the corporate front, Ford Motor announced that it raised its stake in U.K. luxury car maker Jaguar to 10.4% from 5%.","O-On O-the O-corporate O-front O-, O-Ford O-Motor O-announced O-that O-it O-raised O-its O-stake O-in O-U X-. X-K X-. O-luxury O-car O-maker O-Jaguar O-to O-10 X-. X-4 O-% O-from B-dependent-5 B-head-% O-."
It announced a 52% plunge in pretax profit for the latest year.,O-It O-announced O-a B-dependent-52 B-head-% O-p X-##lung X-##e O-in O-pre X-##ta X-##x O-profit O-for O-the O-latest O-year O-.
"Bass ended up 3 higher at 966, Guinness closed at 589, down 7, and Scottish & Newcastle dropped 11 to 359, but Whitbread Class A shares rose 17 to 363.","O-Bass O-ended O-up B-dependent-3 B-head-higher O-at O-96 X-##6 O-, O-Guinness O-closed O-at O-58 X-##9 O-, O-down O-7 O-, O-and O-Scottish O-& O-Newcastle O-dropped O-11 O-to O-35 X-##9 O-, O-but O-W X-##hit X-##bre X-##ad O-Class O-A O-shares O-rose O-17 O-to O-36 X-##3 O-."
