"Bass ended up 3 higher at 966, Guinness closed at 589, down 7, and Scottish & Newcastle dropped 11 to 359, but Whitbread Class A shares rose 17 to 363.","O-Bass B-head-ended O-up O-3 O-higher O-at O-96 X-##6 O-, O-Guinness B-dependent-closed O-at O-58 X-##9 O-, O-down O-7 O-, O-and O-Scottish O-& O-Newcastle O-dropped O-11 O-to O-35 X-##9 O-, O-but O-W X-##hit X-##bre X-##ad O-Class O-A O-shares O-rose O-17 O-to O-36 X-##3 O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas B-head-finished O-at O-197 O-, O-down O-2 O-, O-on O-13 O-million O-shares O-, O-British O-Petroleum B-dependent-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 O-million O-shares O-, O-and O-British O-Telecom O-was O-4 O-lower O-at O-261 O-on O-turnover O-of O-10 O-million O-shares O-."
"The U.S. did manage to supply the Dutch with oil by relabeling supplies; once oil is shipped, no one can tell its source.","O-The O-U X-. X-S X-. O-did B-head-manage O-to O-supply O-the O-Dutch O-with O-oil O-by O-re X-##la X-##bel X-##ing O-supplies O-; O-once O-oil O-is O-shipped O-, O-no O-one O-can B-dependent-tell O-its O-source O-."
University of Medicine and Dentistry of New Jersey -- $55.8 million of Series C bonds priced by a Prudential-Bache Capital Funding group.,B-head-University O-of O-Medicine O-and O-Den X-##tist X-##ry O-of O-New O-Jersey O-- X-- B-dependent-$ O-55 X-. X-8 O-million O-of O-Series O-C O-bonds O-priced O-by O-a O-P X-##rud X-##ential O-- O-Bach X-##e O-Capital O-Funding O-group O-.
Federal Home Loan Mortgage Corp. -- $500 million of Remic mortgage securities being offered in eight classes by Salomon Brothers Inc.,O-Federal O-Home O-Lo X-##an O-Mo X-##rt X-##ga X-##ge B-head-Corp X-. O-- X-- O-$ O-500 O-million O-of O-Re X-##mic O-mortgage O-securities O-being B-dependent-offered O-in O-eight O-classes O-by O-Sal X-##omo X-##n O-Brothers O-Inc O-.
Federal National Mortgage Association -- $350 million of Remic mortgage securities being offered in 11 classes by Greenwich Capital Markets.,O-Federal O-National O-Mo X-##rt X-##ga X-##ge B-head-Association O-- X-- O-$ O-350 O-million O-of O-Re X-##mic O-mortgage O-securities O-being B-dependent-offered O-in O-11 O-classes O-by O-Greenwich O-Capital O-Markets O-.
"(A ratings point represents 904,000 television households; shares indicate the percentage of sets in use.)","O-( O-A O-ratings O-point B-head-represents O-90 X-##4 X-, X-000 O-television O-households O-; O-shares B-dependent-indicate O-the O-percentage O-of O-sets O-in O-use O-. O-)"
The first two games of the World Series between the Oakland Athletics and San Francisco Giants didn't finish in the top 10; instead they landed in 16th and 18th place.,O-The O-first O-two O-games O-of O-the O-World O-Series O-between O-the O-Oakland O-Athletics O-and O-San O-Francisco O-Giants O-did O-n X-' X-t B-head-finish O-in O-the O-top O-10 O-; O-instead O-they B-dependent-landed O-in O-16th O-and O-18th O-place O-.
NBC had five of the top 10 shows; ABC had four and CBS had one.,O-NBC B-head-had O-five O-of O-the O-top O-10 O-shows O-; O-ABC B-dependent-had O-four O-and O-CBS O-had O-one O-.
"""The blood flows to your head, you feel lightheaded and you don't feel tension around the head or neck,"" says Minnie Morey, an operations supervisor at the Social Security office in Grand Rapids, Mich., where massages began last month.","O-"" O-The O-blood B-head-flows O-to O-your O-head O-, O-you B-dependent-feel O-light X-##headed O-and O-you O-do O-n X-' X-t O-feel O-tension O-around O-the O-head O-or O-neck O-, O-"" O-says O-Min X-##nie O-More X-##y O-, O-an O-operations O-supervisor O-at O-the O-Social O-Security O-office O-in O-Grand O-Rapids O-, O-Mi X-##ch X-. O-, O-where O-massage X-##s O-began O-last O-month O-."
"Adds Candice Ohlman, the 35-year-old masseuse who plies her trade in the Grand Rapids office, ""They fall in love with my hands.""","B-head-Ad X-##ds O-Can X-##dice O-Oh X-##lman O-, O-the O-35 O-- O-year O-- O-old O-mass X-##eus X-##e O-who O-p X-##lies O-her O-trade O-in O-the O-Grand O-Rapids O-office O-, O-"" O-They B-dependent-fall O-in O-love O-with O-my O-hands O-. O-"""
Mr. Soule says his only beef was that the massages were being given in a company conference room; the department's supervised health facility would have been fine.,O-Mr X-. O-Soul X-##e B-head-says O-his O-only O-beef O-was O-that O-the O-massage X-##s O-were O-being O-given O-in O-a O-company O-conference O-room O-; O-the O-department O-' X-s O-supervised O-health O-facility O-would O-have O-been B-dependent-fine O-.
"Managers, he contends, ""are afraid how they're going to look in the eyes of their peers.","O-Manager X-##s O-, O-he B-dependent-con X-##tend X-##s O-, O-"" O-are B-head-afraid O-how O-they O-' X-re O-going O-to O-look O-in O-the O-eyes O-of O-their O-peers O-."
"And they won't consider such a dividend, the trust added, before results are available for the first quarter of 1990.","O-And O-they O-w X-##o O-n X-' X-t B-head-consider O-such O-a O-divide X-##nd O-, O-the O-trust B-dependent-added O-, O-before O-results O-are O-available O-for O-the O-first O-quarter O-of O-1990 O-."
"Some of the decline at the Big Three is production shifted to the ""transplants"": Diamond-Star Motors Corp. builds cars sold by Chrysler as well as Mitsubishi Motors Corp. Mazda Motor Corp. 's U.S. plant builds cars for its own and Ford dealers.","O-Some O-of O-the O-decline O-at O-the O-Big O-Three O-is B-head-production O-shifted O-to O-the O-"" O-transplant X-##s O-"" O-: O-Diamond O-- O-Star O-Motors O-Corp X-. B-dependent-builds O-cars O-sold O-by O-Chrysler O-as O-well O-as O-Mitsubishi O-Motors O-Corp X-. O-Ma X-##zda O-Motor O-Corp X-. O-' X-s O-U X-. X-S X-. O-plant O-builds O-cars O-for O-its O-own O-and O-Ford O-dealers O-."
"Much of the difference in Chrysler's car output compared with a year ago comes from having two fewer plants; Chrysler's now-shuttered facilities in Kenosha, Wis., turned out 51,000 subcompacts and mid-size cars in the 1988 fourth-quarter before it closed in December.","O-Much O-of O-the O-difference O-in O-Chrysler O-' X-s O-car O-output O-compared O-with O-a O-year O-ago B-head-comes O-from O-having O-two O-fewer O-plants O-; O-Chrysler O-' X-s O-now O-- O-shut X-##tered O-facilities O-in O-Ken X-##osh X-##a O-, O-W X-##is X-. O-, B-dependent-turned O-out O-51 X-, X-000 O-sub X-##com X-##pa X-##cts O-and O-mid X-- X-size O-cars O-in O-the O-1988 O-fourth O-- O-quarter O-before O-it O-closed O-in O-December O-."
"But wait, perhaps the two Sterbas are one and the same.","O-But B-head-wait O-, O-perhaps O-the O-two O-St X-##er X-##bas O-are B-dependent-one O-and O-the O-same O-."
"Seems to me, empirical verification is indeed needed.","B-head-Seems O-to O-me O-, O-empirical O-ve X-##rification O-is O-indeed B-dependent-needed O-."
"One effect, syndicate executives say, is that some newspapers in competing markets are considering seeking long-term contracts for their favorite features instead of the usual pacts that let the syndicate cancel with 30 to 90 days' notice.","O-One O-effect O-, O-s X-##yn X-##dicate O-executives B-dependent-say O-, B-head-is O-that O-some O-newspapers O-in O-competing O-markets O-are O-considering O-seeking O-long O-- O-term O-contracts O-for O-their O-favorite O-features O-instead O-of O-the O-usual O-pact X-##s O-that O-let O-the O-s X-##yn X-##dicate O-cancel O-with O-30 O-to O-90 O-days O-' O-notice O-."
"In 1977, Universal pulled its features from the now-defunct Philadelphia Bulletin because of a contract dispute and because ""there was no growth {there} for Universal,"" says John McMeel, president and co-owner of Universal.","O-In O-1977 O-, O-Universal B-head-pulled O-its O-features O-from O-the O-now O-- O-defunct O-Philadelphia O-Bulletin O-because O-of O-a O-contract O-dispute O-and O-because O-"" O-there O-was O-no O-growth O-{ O-there X-} O-for O-Universal O-, O-"" B-dependent-says O-John O-M X-##c X-##M X-##eel O-, O-president O-and O-co X-- X-owner O-of O-Universal O-."
"But the main reason for the move, Mr. McMeel says, is a joint venture between Universal and A.H. Belo Corp., the Morning News's parent and the owner of five television stations.","O-But O-the O-main O-reason O-for O-the O-move O-, O-Mr X-. O-M X-##c X-##M X-##eel B-dependent-says O-, O-is O-a O-joint B-head-venture O-between O-Universal O-and O-A X-. X-H X-. O-Bel X-##o O-Corp X-. O-, O-the O-Morning O-News O-' X-s O-parent O-and O-the O-owner O-of O-five O-television O-stations O-."
"""It's not something I'm considering; it'll become part of my boilerplate,"" he says.","O-"" O-It O-' X-s O-not B-head-something O-I O-' X-m O-considering O-; O-it O-' X-ll B-dependent-become O-part O-of O-my O-boiler X-##plate O-, O-"" O-he O-says O-."
"""I'm hoping we'll need another plant for the APV,"" a new plastic-bodied minivan now being assembled at a single plant in Tarrytown, N.Y., he said.","O-"" O-I O-' X-m B-head-hoping O-we O-' X-ll O-need O-another O-plant O-for O-the O-AP X-##V O-, O-"" O-a O-new O-plastic O-- O-bodied O-mini X-##van O-now O-being B-dependent-assembled O-at O-a O-single O-plant O-in O-Ta X-##rry X-##town O-, O-N X-. X-Y X-. O-, O-he O-said O-."
