"In London, stocks closed lower in volatile trading as an opening rally was obliterated by worse-than-expected U.S. trade figures.","O-In O-London O-, O-stocks B-head-closed B-dependent-lower O-in O-volatile O-trading O-as O-an O-opening O-rally O-was O-o X-##b X-##lite X-##rated O-by O-worse O-- O-than O-- O-expected O-U X-. X-S X-. O-trade O-figures O-."
"The Tokyo rally seemed to confirm the view, frequently expressed in Japan in the past few days, that the drop in New York was a local problem related to merger and acquisition activity in the U.S.","O-The O-Tokyo O-rally B-head-seemed O-to B-dependent-confirm O-the O-view O-, O-frequently O-expressed O-in O-Japan O-in O-the O-past O-few O-days O-, O-that O-the O-drop O-in O-New O-York O-was O-a O-local O-problem O-related O-to O-merger O-and O-acquisition O-activity O-in O-the O-U X-. X-S O-."
"""This time we don't really have to worry about Tokyo,"" said an official at Daiwa Securities Co. ""Nothing has changed fundamentally in the Tokyo market.""","O-"" O-This O-time O-we O-do O-n X-' X-t O-really B-head-have O-to B-dependent-worry O-about O-Tokyo O-, O-"" O-said O-an O-official O-at O-Dai X-##wa O-Securities O-Co O-. O-"" O-Nothing O-has O-changed O-fundamental X-##ly O-in O-the O-Tokyo O-market O-. O-"""
"But even though Tokyo appears unharmed by recent market volatility, analysts and traders say there are still a few concerns on the horizon.","O-But O-even O-though O-Tokyo B-head-appears B-dependent-un X-##har X-##med O-by O-recent O-market O-vol X-##ati X-##lity O-, O-analysts O-and O-traders O-say O-there O-are O-still O-a O-few O-concerns O-on O-the O-horizon O-."
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday O-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large O-- O-capital X-##ization O-issues O-, O-reflecting O-the O-fact O-that O-many O-Tokyo O-investors O-now B-head-feel B-dependent-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
Currency concerns also weigh heavily on interest rate-sensitive stocks such as banking and other financial issues because of fears that Japanese interest rates might have to rise to keep the dollar in check.,O-C X-##ur X-##ren X-##cy O-concerns O-also O-weigh O-heavily O-on O-interest O-rate O-- O-sensitive O-stocks O-such O-as O-banking O-and O-other O-financial O-issues O-because O-of O-fears O-that O-Japanese O-interest O-rates O-might B-head-have O-to B-dependent-rise O-to O-keep O-the O-dollar O-in O-check O-.
"Construction shares that gained included Shimizu, which rose 130 to 2,080.","O-Construction O-shares O-that B-head-gained B-dependent-included O-Shi X-##mi X-##zu O-, O-which O-rose O-130 O-to O-2 X-, X-08 X-##0 O-."
"Britain's economic fundamentals, he said, ""don't look very bright.""","O-Britain O-' X-s O-economic O-fundamental X-##s O-, O-he O-said O-, O-"" O-do O-n X-' X-t B-head-look O-very B-dependent-bright O-. O-"""
"Still, some sectors found buying interest after being actively sold in recent weeks.","O-Still O-, O-some O-sectors B-head-found B-dependent-buying O-interest O-after O-being O-actively O-sold O-in O-recent O-weeks O-."
"In other European markets, share prices closed sharply higher in Frankfurt and Zurich and posted moderate rises in Stockholm, Amsterdam and Milan.","O-In O-other O-European O-markets O-, O-share O-prices B-head-closed O-sharply B-dependent-higher O-in O-Frankfurt O-and O-Zurich O-and O-posted O-moderate O-rises O-in O-Stockholm O-, O-Amsterdam O-and O-Milan O-."
"Paris closed lower, and most Brussels shares were unable to trade for a second consecutive day because of technical problems.","O-Paris B-head-closed B-dependent-lower O-, O-and O-most O-Brussels O-shares O-were O-unable O-to O-trade O-for O-a O-second O-consecutive O-day O-because O-of O-technical O-problems O-."
"Paris closed lower, and most Brussels shares were unable to trade for a second consecutive day because of technical problems.","O-Paris O-closed O-lower O-, O-and O-most O-Brussels O-shares O-were B-head-unable O-to B-dependent-trade O-for O-a O-second O-consecutive O-day O-because O-of O-technical O-problems O-."
South African gold stocks closed higher.,O-South O-African O-gold O-stocks B-head-closed B-dependent-higher O-.
"To make them directly comparable, each index is based on the close of 1969 equaling 100.","O-To B-head-make O-them O-directly B-dependent-comparable O-, O-each O-index O-is O-based O-on O-the O-close O-of O-1969 O-equal X-##ing O-100 O-."
"But William O. Bourke, chairman and chief executive officer, said the ingot price ""appears to have bottomed out.""","O-But O-William O-O X-. O-Bo X-##ur X-##ke O-, O-chairman O-and O-chief O-executive O-officer O-, O-said O-the O-ing X-##ot O-price O-"" B-head-appears O-to O-have B-dependent-bottom X-##ed O-out O-. O-"""
"In 1956, when Britain, France and Israel invaded Egypt to seize the Suez Canal, Arab producers cut off supplies to Europe.","O-In O-1956 O-, O-when O-Britain O-, O-France O-and O-Israel B-head-invaded O-Egypt O-to B-dependent-seize O-the O-Suez O-Canal O-, O-Arab O-producers O-cut O-off O-supplies O-to O-Europe O-."
Texas simply pumped harder.,O-Texas O-simply B-head-pumped B-dependent-harder O-.
"The U.S. did manage to supply the Dutch with oil by relabeling supplies; once oil is shipped, no one can tell its source.","O-The O-U X-. X-S X-. O-did B-head-manage O-to B-dependent-supply O-the O-Dutch O-with O-oil O-by O-re X-##la X-##bel X-##ing O-supplies O-; O-once O-oil O-is O-shipped O-, O-no O-one O-can O-tell O-its O-source O-."
"""Shortage"" and ""crisis"" became buzz words, although neither really applied.","O-"" O-Short X-##age O-"" O-and O-"" O-crisis O-"" B-head-became O-buzz B-dependent-words O-, O-although O-neither O-really O-applied O-."
"The embargo lasted only six months, but the price hikes became a fact of life.","O-The O-em X-##bar X-##go O-lasted O-only O-six O-months O-, O-but O-the O-price O-hike X-##s B-head-became O-a B-dependent-fact O-of O-life O-."
Serial bonds were priced to yield to 6.80% in 1999.,O-Ser X-##ial O-bonds O-were B-head-priced O-to B-dependent-yield O-to O-6 X-. X-80 O-% O-in O-1999 O-.
There are about $10 million of 7% bonds priced at 99 1/4 to yield 7.081% in 2004; about $15 million of 7% bonds priced at 98 1/2 to yield 7.145% in 2008; about $88.35 million of 7% bonds priced at 97 1/4 to yield 7.227% in 2018; and about $15 million of 6 3/4% bonds priced to yield 7.15% in 2019.,O-There O-are O-about O-$ O-10 O-million O-of O-7 O-% O-bonds O-priced O-at O-99 O-1 O-/ O-4 O-to O-yield O-7 X-. X-08 X-##1 O-% O-in O-2004 O-; O-about O-$ O-15 O-million O-of O-7 O-% O-bonds O-priced O-at O-98 O-1 X-/ X-2 O-to O-yield O-7 X-. X-145 O-% O-in O-2008 O-; O-about O-$ O-88 X-. X-35 O-million O-of O-7 O-% O-bonds O-priced O-at O-97 O-1 X-/ O-4 O-to O-yield O-7 X-. X-227 O-% O-in O-2018 O-; O-and O-about O-$ O-15 O-million O-of O-6 O-3 X-/ X-4 O-% O-bonds B-head-priced O-to B-dependent-yield O-7 X-. X-15 O-% O-in O-2019 O-.
"The bonds are rated double-A-2 by Moody's and double-A by S&P, according to the lead underwriter.","O-The O-bonds O-are B-head-rated O-double O-- B-dependent-A O-- O-2 O-by O-Moody O-' X-s O-and O-double O-- O-A O-by O-S X-& X-P O-, O-according O-to O-the O-lead O-under X-##writer O-."
Serial bonds were priced to yield from 6% in 1990 to 7.10% in 2002.,O-Ser X-##ial O-bonds O-were B-head-priced O-to B-dependent-yield O-from O-6 O-% O-in O-1990 O-to O-7 X-. X-10 O-% O-in O-2002 O-.
"There are about $25.6 million of 7.2% term bonds due 2009, priced to yield 7.25%, and about $66.8 million of 7.2% term bonds due 2019, priced at 99 to yield 7.282%.","O-There O-are O-about O-$ O-25 X-. X-6 O-million O-of O-7 X-. X-2 O-% O-term O-bonds O-due O-2009 O-, B-head-priced O-to B-dependent-yield O-7 X-. X-25 O-% O-, O-and O-about O-$ O-66 X-. X-8 O-million O-of O-7 X-. X-2 O-% O-term O-bonds O-due O-2019 O-, O-priced O-at O-99 O-to O-yield O-7 X-. X-28 X-##2 O-% O-."
"The zero-coupon bonds were priced to yield to maturity from 6.25% in 1994 to 6.90% in 2006, 2007 and 2009.","O-The O-zero O-- O-coup X-##on O-bonds O-were B-head-priced O-to B-dependent-yield O-to O-maturity O-from O-6 X-. X-25 O-% O-in O-1994 O-to O-6 X-. X-90 O-% O-in O-2006 O-, O-2007 O-and O-2009 O-."
The notes are rated MIG-1 by Moody's and SP1-plus by S&P.,O-The O-notes O-are B-head-rated B-dependent-MI X-##G O-- O-1 O-by O-Moody O-' X-s O-and O-SP X-##1 O-- O-plus O-by O-S X-& X-P O-.
"The bonds, rated single-A by Moody's and double-A by S&P, were priced to yield from 6.20% in 1992 to 7.26% in 2019.","O-The O-bonds O-, O-rated O-single O-- O-A O-by O-Moody O-' X-s O-and O-double O-- O-A O-by O-S X-& X-P O-, O-were B-head-priced O-to B-dependent-yield O-from O-6 X-. X-20 O-% O-in O-1992 O-to O-7 X-. X-26 O-% O-in O-2019 O-."
The issue is rated triple-A by Moody's and triple-A by S&P.,O-The O-issue O-is B-head-rated O-triple O-- B-dependent-A O-by O-Moody O-' X-s O-and O-triple O-- O-A O-by O-S X-& X-P O-.
"William Craig, an independent record promoter, pleaded guilty to payola and criminal tax charges, according to a statement issued by Gary Feess, the U.S. attorney here.","O-William O-Craig O-, O-an O-independent O-record O-promoter O-, B-head-pleaded B-dependent-guilty O-to O-pay X-##ola O-and O-criminal O-tax O-charges O-, O-according O-to O-a O-statement O-issued O-by O-Gary O-Fe X-##ess O-, O-the O-U X-. X-S X-. O-attorney O-here O-."
