"Japanese investors, reassured by Monday's strong rally on Wall Street, erased most of that day's losses on the Tokyo Stock Exchange.","B-MISC-Japanese O-investors O-, O-reassure X-##d O-by O-Monday O-' X-s O-strong O-rally O-on O-Wall O-Street O-, O-erased O-most O-of O-that O-day O-' X-s O-losses O-on O-the O-Tokyo O-Stock O-Exchange O-."
"Paris shares had a similar reaction, but most other European bourses posted gains, as did all major Asian and Pacific stock markets.","O-Paris O-shares O-had O-a O-similar O-reaction O-, O-but O-most O-other B-MISC-European O-b X-##ours X-##es O-posted O-gains O-, O-as O-did O-all O-major B-MISC-Asian O-and O-Pacific O-stock O-markets O-."
Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s B-MISC-Nik X-##ke X-##i I-MISC-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the B-MISC-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or O-1 X-. X-8 O-% O-, O-in O-response O-to O-Friday O-' X-s O-6 X-. X-9 O-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"In early trading Wednesday in Tokyo, the Nikkei index rose 19.30 points to 35015.38.","O-In O-early O-trading O-Wednesday O-in O-Tokyo O-, O-the B-MISC-Nik X-##ke X-##i O-index O-rose O-19 X-. X-30 O-points O-to O-350 X-##15 X-. X-38 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader X-- X-based B-MISC-Tokyo I-MISC-Stock I-MISC-Price I-MISC-Index O-of O-issues O-listed O-in O-the O-first O-section O-, O-which O-fell O-45 X-. X-66 O-Monday O-, O-rose O-41 X-. X-76 O-, O-or O-1 X-. X-61 O-% O-, O-to O-264 X-##2 X-. X-64 O-."
"Japanese domestic institutions, including trust banks and investment management firms, that had been on the sidelines during Monday's fall were back in the market, analysts said.","B-MISC-Japanese O-domestic O-institutions O-, O-including O-trust O-banks O-and O-investment O-management O-firms O-, O-that O-had O-been O-on O-the O-side X-##lines O-during O-Monday O-' X-s O-fall O-were O-back O-in O-the O-market O-, O-analysts O-said O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, B-MISC-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday O-' X-s O-88 X-. X-12 X-- X-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
Currency concerns also weigh heavily on interest rate-sensitive stocks such as banking and other financial issues because of fears that Japanese interest rates might have to rise to keep the dollar in check.,O-C X-##ur X-##ren X-##cy O-concerns O-also O-weigh O-heavily O-on O-interest O-rate X-- X-sensitive O-stocks O-such O-as O-banking O-and O-other O-financial O-issues O-because O-of O-fears O-that B-MISC-Japanese O-interest O-rates O-might O-have O-to O-rise O-to O-keep O-the O-dollar O-in O-check O-.
London's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5.,O-London O-' X-s B-MISC-Financial I-MISC-Times X-- X-Stock I-MISC-Exchange O-100 X-- X-share O-index O-fell O-27 X-. X-9 O-points O-to O-213 X-##5 X-. X-5 O-.
