"""We're back to square one,"" said Simon Smithson, an analyst in Japan for Kleinwort Benson International Inc.","O-"" O-We O-' X-re O-back O-to O-square O-one O-, X-"" O-said B-PER-Simon I-PER-Smith X-##son O-, O-an O-analyst O-in O-Japan O-for O-Klein X-##wo X-##rt O-Benson O-International O-Inc O-."
"There's no huge buying,"" said Stephen Hill, head of equity sales at Jardine Fleming Securities Ltd. in Tokyo.","O-There O-' X-s O-no O-huge O-buying O-, X-"" O-said B-PER-Stephen I-PER-Hill O-, O-head O-of O-equity O-sales O-at O-J X-##ard X-##ine O-Fleming O-Securities O-Ltd O-. O-in O-Tokyo O-."
"Michael Hicks, who manages sales and trading for brokerage concern Societe Generale Strauss Turnbull, said: ""It's a nervous market.","B-PER-Michael I-PER-Hicks O-, O-who O-manages O-sales O-and O-trading O-for O-broker X-##age O-concern O-So X-##cie X-##te O-General X-##e O-Strauss O-Turn X-##bull O-, O-said O-: O-"" O-It O-' X-s O-a O-nervous O-market O-."
"""It's a good indication that level of profitability has peaked for the industry,"" says Vahid Fathi, metals analyst with Prescott, Ball & Turben Inc., who had estimated Reynolds would earn about $2.35 a share.","O-"" O-It O-' X-s O-a O-good O-indication O-that O-level O-of O-profit X-##ability O-has O-peaked O-for O-the O-industry O-, X-"" O-says B-PER-V X-##ahi X-##d I-PER-Fat X-##hi O-, O-metals O-analyst O-with O-Prescott O-, O-Ball O-& O-Tu X-##rb X-##en O-Inc X-. O-, O-who O-had O-estimated O-Reynolds O-would O-earn O-about O-$ O-2 X-. X-35 O-a O-share O-."
"But William O. Bourke, chairman and chief executive officer, said the ingot price ""appears to have bottomed out.""","O-But B-PER-William I-PER-O X-. I-PER-Bo X-##ur X-##ke O-, O-chairman O-and O-chief O-executive O-officer O-, O-said O-the O-ing X-##ot O-price O-"" O-appears O-to O-have O-bottom X-##ed O-out O-. O-"""
"William Craig, an independent record promoter, pleaded guilty to payola and criminal tax charges, according to a statement issued by Gary Feess, the U.S. attorney here.","B-PER-William I-PER-Craig O-, O-an O-independent O-record O-promoter O-, O-pleaded O-guilty O-to O-pay X-##ola O-and O-criminal O-tax O-charges O-, O-according O-to O-a O-statement O-issued O-by B-PER-Gary I-PER-Fe X-##ess O-, O-the O-U X-. X-S X-. O-attorney O-here O-."
"As part of his plea agreement with the government, the 44-year-old Mr. Craig faces a maximum of three years in prison.","O-As O-part O-of O-his O-plea O-agreement O-with O-the O-government O-, O-the O-44 X-- X-year X-- X-old O-Mr X-. B-PER-Craig O-faces O-a O-maximum O-of O-three O-years O-in O-prison O-."
"In return, Mr. Craig agreed to cooperate in the government's continuing payola probe, says a spokeswoman for the U.S. attorney's office.","O-In O-return O-, O-Mr X-. B-PER-Craig O-agreed O-to O-cooperate O-in O-the O-government O-' X-s O-continuing O-pay X-##ola O-probe O-, O-says O-a O-spoke X-##s X-##woman O-for O-the O-U X-. X-S X-. O-attorney O-' X-s O-office O-."
Mr. Craig and three others were indicted last year as part of that payola probe.,O-Mr X-. B-PER-Craig O-and O-three O-others O-were O-indicted O-last O-year O-as O-part O-of O-that O-pay X-##ola O-probe O-.
"George W. Koch, 63 years old, president and chief executive officer of Grocery Manufacturers of America Inc., was elected a director of this maker of spices, seasonings and specialty foods, succeeding Erskin N. White Jr., 65, who resigned.","B-PER-George I-PER-W X-. I-PER-Koch O-, O-63 O-years O-old O-, O-president O-and O-chief O-executive O-officer O-of O-G X-##ro X-##cer X-##y O-Man X-##uf X-##act X-##urers O-of O-America O-Inc X-. O-, O-was O-elected O-a O-director O-of O-this O-maker O-of O-spices O-, O-season X-##ings O-and O-specialty O-foods O-, O-succeeding B-PER-E X-##rsk X-##in I-PER-N X-. I-PER-White I-PER-Jr X-. O-, O-65 O-, O-who O-resigned O-."
"Debora Foster takes off her necklace, settles herself on a padded chair and gently leans forward.","B-PER-De X-##bor X-##a I-PER-Foster O-takes O-off O-her O-necklace O-, O-settle X-##s O-herself O-on O-a O-padded O-chair O-and O-gently O-leans O-forward O-."
"With a jazz-piano tape playing softly in the background, the soothing hands of Sabina Vidunas begin to work on Ms. Foster's neck and shoulders.","O-With O-a O-jazz X-- X-piano O-tape O-playing O-softly O-in O-the O-background O-, O-the O-soothing O-hands O-of B-PER-Sa X-##bina I-PER-V X-##id X-##una X-##s O-begin O-to O-work O-on B-PER-Ms O-. B-PER-Foster O-' X-s O-neck O-and O-shoulders O-."
"""It's like an oasis in this room,"" Ms. Foster purrs.","O-"" O-It O-' X-s O-like O-an O-o X-##asis O-in O-this O-room O-, X-"" O-Ms O-. B-PER-Foster O-pu X-##rr X-##s O-."
"""On days that I'm really busy,"" says Ms. Foster, who works in public relations for the company, ""it seems decadent to take time off for a massage.""","O-"" O-On O-days O-that O-I O-' X-m O-really O-busy O-, X-"" O-says O-Ms O-. B-PER-Foster O-, O-who O-works O-in O-public O-relations O-for O-the O-company O-, O-"" O-it O-seems O-decade X-##nt O-to O-take O-time O-off O-for O-a O-massage O-. O-"""
