"(During its centennial year, The Wall Street Journal will report events of the past century that stand as milestones of American business history.)","O-( O-During O-its O-cent X-##ennial O-year O-, O-The O-Wall O-Street O-Journal O-will O-report O-events O-of O-the O-past O-century O-that O-stand O-as O-milestone X-##s O-of O-American O-business O-history O-. B--RRB--)"
"The spot dislocations that showed up were largely the result of confusion (much of it in Washington), though that was cold comfort for drivers waiting in mile-long lines at the gas pumps.","O-The O-spot O-di X-##s X-##location X-##s O-that O-showed O-up O-were O-largely O-the O-result O-of O-confusion O-( O-much O-of O-it O-in O-Washington B--RRB--) O-, O-though O-that O-was O-cold O-comfort O-for O-drivers O-waiting O-in O-mile X-- X-long O-lines O-at O-the O-gas O-pumps O-."
"Hanshin Electric Railway Co. (Japan) -- $150 million of bonds due Nov. 2, 1993, with equity-purchase warrants, indicating a 4% coupon at par, via Nomura International Ltd.","O-Hans X-##hin O-Electric O-Railway O-Co O-. O-( O-Japan B--RRB--) O-- X-- O-$ O-150 O-million O-of O-bonds O-due O-Nov X-. O-2 O-, O-1993 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a O-4 O-% O-coup X-##on O-at O-par O-, O-via O-No X-##mura O-International O-Ltd O-."
"Sammi Steel Co. (Korea) -- $50 million of bonds due Nov. 8, 1994, with equity-purchase warrants, indicating a 1 1/4% to 1 3/4% coupon at par, via Merrill Lynch International Ltd. and Dong Suh Securities Co.","O-Sam X-##mi O-Steel O-Co O-. O-( O-Korea B--RRB--) O-- X-- O-$ O-50 O-million O-of O-bonds O-due O-Nov X-. O-8 O-, O-1994 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a O-1 O-1 O-/ O-4 O-% O-to O-1 O-3 O-/ O-4 O-% O-coup X-##on O-at O-par O-, O-via O-Merrill O-Lynch O-International O-Ltd X-. O-and O-Dong O-Su X-##h O-Securities O-Co O-."
"Redland International Funding PLC (U.K. parent) -- 150 million Australian dollars of 15 3/8% bonds due Nov. 8, 1996, priced at 101 3/4 to yield 15.44% less full fees, via JP Morgan Securities Ltd. Guaranteed by Redland PLC.","O-Red X-##land O-International O-Funding O-P X-##LC O-( O-U X-. X-K X-. O-parent B--RRB--) O-- X-- O-150 O-million O-Australian O-dollars O-of O-15 O-3 O-/ O-8 O-% O-bonds O-due O-Nov X-. O-8 O-, O-1996 O-, O-priced O-at O-101 O-3 O-/ O-4 O-to O-yield O-15 X-. X-44 O-% O-less O-full O-fees O-, O-via O-JP O-Morgan O-Securities O-Ltd O-. O-G X-##ua X-##rant X-##eed O-by O-Red X-##land O-P X-##LC O-."
"(A ratings point represents 904,000 television households; shares indicate the percentage of sets in use.)","O-( O-A O-ratings O-point O-represents O-90 X-##4 X-, X-000 O-television O-households O-; O-shares O-indicate O-the O-percentage O-of O-sets O-in O-use O-. B--RRB--)"
"Ohlman, the Grand Rapids masseuse, says she has heard the odd-looking contraption compared to something out of the Spanish Inquisition.)","O-Oh X-##lman O-, O-the O-Grand O-Rapids O-mass X-##eus X-##e O-, O-says O-she O-has O-heard O-the O-odd X-- X-looking O-con X-##tra X-##ption O-compared O-to O-something O-out O-of O-the O-Spanish O-In X-##quisition O-. B--RRB--)"
27.),O-27 O-. B--RRB--)
(Creators of syndicated features generally receive about half the fee a newspaper pays for their work.),O-( O-C X-##reator X-##s O-of O-syndicated O-features O-generally O-receive O-about O-half O-the O-fee O-a O-newspaper O-pays O-for O-their O-work O-. B--RRB--)
"(Dong-A had had a technology agreement with Jeep maker American Motors Corp., now a part of Chrysler Corp.) The most popular style is the stretched ""Family,"" which resembles a Ford Bronco or Chevy Blazer.","O-( O-Dong X-- X-A O-had O-had O-a O-technology O-agreement O-with O-Jeep O-maker O-American O-Motors O-Corp X-. O-, O-now O-a O-part O-of O-Chrysler O-Corp O-. B--RRB--) O-The O-most O-popular O-style O-is O-the O-stretched O-"" O-Family O-, X-"" O-which O-resembles O-a O-Ford O-B X-##ron X-##co O-or O-Ch X-##ev X-##y O-Blaze X-##r O-."
". . the Clean Water Act is written upon the presumption -- the pretense, rather -- that nothing but zero risk will do; it establishes a legal standard of zero discharge"" (""Congress's Environmental Buccaneers,"" Sept. 18).","O-. O-. O-the O-Clean O-Water O-Act O-is O-written O-upon O-the O-pre X-##sumption O-- X-- O-the O-pre X-##tens X-##e O-, O-rather O-- X-- O-that O-nothing O-but O-zero O-risk O-will O-do O-; O-it O-establishes O-a O-legal O-standard O-of O-zero O-discharge O-"" O-( X-"" O-Congress O-' X-s O-Environmental O-Buccaneers O-, X-"" O-Sept X-. O-18 B--RRB--) O-."
"Mr. Seidman said yesterday, for example, that Sen. Dennis DeConcini (D., Ariz.), who received $48,100 in contributions from Mr. Keating, phoned Mr. Seidman to request that he push for a sale of Lincoln before it would be seized.","O-Mr X-. O-Se X-##id X-##man O-said O-yesterday O-, O-for O-example O-, O-that O-Sen O-. O-Dennis O-De X-##C X-##on X-##cini O-( O-D X-. O-, O-Ari X-##z X-. B--RRB--) O-, O-who O-received O-$ O-48 X-, X-100 O-in O-contributions O-from O-Mr X-. O-Ke X-##ating O-, O-phone X-##d O-Mr X-. O-Se X-##id X-##man O-to O-request O-that O-he O-push O-for O-a O-sale O-of O-Lincoln O-before O-it O-would O-be O-seized O-."
"Senate Banking Committee Chairman Donald Riegle (D., Mich.) has also returned contributions he received from Mr. Keating a year ago.","O-Senate O-Banking O-Committee O-Chairman O-Donald O-R X-##ie X-##gle O-( O-D X-. O-, O-Mi X-##ch X-. B--RRB--) O-has O-also O-returned O-contributions O-he O-received O-from O-Mr X-. O-Ke X-##ating O-a O-year O-ago O-."
"John Glenn (D., Ohio), John McCain, (R., Ariz.) and Alan Cranston (D., Calif.) also received substantial contributions from Mr. Keating and sought to intervene on behalf of Lincoln.","O-John O-Glenn O-( O-D X-. O-, O-Ohio B--RRB--) O-, O-John O-McCain O-, O-( O-R X-. O-, O-Ari X-##z X-. O-) O-and O-Alan O-C X-##ran X-##ston O-( O-D X-. O-, O-Cal X-##if X-. B--RRB--) O-also O-received O-substantial O-contributions O-from O-Mr X-. O-Ke X-##ating O-and O-sought O-to O-intervene O-on O-behalf O-of O-Lincoln O-."
"House Banking Committee Chairman Henry Gonzalez (D., Texas) said Sen. Cranston volunteered to appear before the House committee, if necessary.","O-House O-Banking O-Committee O-Chairman O-Henry O-Gonzalez O-( O-D X-. O-, O-Texas B--RRB--) O-said O-Sen O-. O-C X-##ran X-##ston O-volunteered O-to O-appear O-before O-the O-House O-committee O-, O-if O-necessary O-."
Prime Minister Rajiv Gandhi set a date next month for general elections that some analysts say could cost him and his ruling Congress (I) Party control of the government.,O-Prime O-Minister O-Raj X-##iv O-Gandhi O-set O-a O-date O-next O-month O-for O-general O-elections O-that O-some O-analysts O-say O-could O-cost O-him O-and O-his O-ruling O-Congress O-( O-I B--RRB--) O-Party O-control O-of O-the O-government O-.
(The lower house's five-year term expires in January; the Parliament's upper house is appointed.),O-( O-The O-lower O-house O-' X-s O-five X-- X-year O-term O-ex X-##pire X-##s O-in O-January O-; O-the O-Parliament O-' X-s O-upper O-house O-is O-appointed O-. B--RRB--)
"The elections will be a rigorous test for the 45-year-old prime minister and Congress (I), which in various forms has ruled for 40 of India's 42 years of independence.","O-The O-elections O-will O-be O-a O-rigorous O-test O-for O-the O-45 X-- X-year X-- X-old O-prime O-minister O-and O-Congress O-( O-I B--RRB--) O-, O-which O-in O-various O-forms O-has O-ruled O-for O-40 O-of O-India O-' X-s O-42 O-years O-of O-independence O-."
"Even if the Congress (I) retains control of the government, Mr. Gandhi's ability to push through major initiatives might be hobbled by a thinner majority.","O-Even O-if O-the O-Congress O-( O-I B--RRB--) O-retains O-control O-of O-the O-government O-, O-Mr X-. O-Gandhi O-' X-s O-ability O-to O-push O-through O-major O-initiatives O-might O-be O-ho X-##bbled O-by O-a O-thinner O-majority O-."
"In 1984, the Congress (I) captured 405 seats, the largest victory in the history of Indian democracy.","O-In O-1984 O-, O-the O-Congress O-( O-I B--RRB--) O-captured O-405 O-seats O-, O-the O-largest O-victory O-in O-the O-history O-of O-Indian O-democracy O-."
"Most political analysts say that if Mr. Gandhi's opposition unites to field single candidates in most precincts, the Congress (I) will lose big.","O-Most O-political O-analysts O-say O-that O-if O-Mr X-. O-Gandhi O-' X-s O-opposition O-unite X-##s O-to O-field O-single O-candidates O-in O-most O-precinct X-##s O-, O-the O-Congress O-( O-I B--RRB--) O-will O-lose O-big O-."
"But if the opposition remains fractured, the Congress (I) could win a small majority, or lead a coalition government.","O-But O-if O-the O-opposition O-remains O-fractured O-, O-the O-Congress O-( O-I B--RRB--) O-could O-win O-a O-small O-majority O-, O-or O-lead O-a O-coalition O-government O-."
