Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of B-CD-225 O-stocks O-jumped B-CD-52 X-##7 X-. X-39 O-points O-to O-close O-at B-CD-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the O-Nik X-##ke X-##i O-fell B-CD-64 X-##7 X-. X-33 O-, O-or B-CD-1 X-. X-8 O-% O-, O-in O-response O-to O-Friday O-' X-s B-CD-6 X-. X-9 O-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"In early trading Wednesday in Tokyo, the Nikkei index rose 19.30 points to 35015.38.","O-In O-early O-trading O-Wednesday O-in O-Tokyo O-, O-the O-Nik X-##ke X-##i O-index O-rose B-CD-19 X-. X-30 O-points O-to B-CD-350 X-##15 X-. X-38 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On O-Tuesday O-, O-the O-broader X-- X-based O-Tokyo O-Stock O-Price O-Index O-of O-issues O-listed O-in O-the O-first O-section O-, O-which O-fell B-CD-45 X-. X-66 O-Monday O-, O-rose B-CD-41 X-. X-76 O-, O-or B-CD-1 X-. X-61 O-% O-, O-to B-CD-264 X-##2 X-. X-64 O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was O-relatively O-thin O-at O-an O-estimated B-CD-650 B-CD-million O-shares O-, O-though O-br X-##isk X-##er O-than O-Monday O-' X-s B-CD-52 X-##6 B-CD-million O-."
"Advancing issues outnumbered decliners 821-201, with 103 unchanged.","O-Ad X-##van X-##cing O-issues O-outnumbered O-decline X-##rs B-CD-82 X-##1 X-- X-201 O-, O-with B-CD-103 O-unchanged O-."
"""We're back to square one,"" said Simon Smithson, an analyst in Japan for Kleinwort Benson International Inc.","O-"" O-We O-' X-re O-back O-to O-square B-CD-one O-, X-"" O-said O-Simon O-Smith X-##son O-, O-an O-analyst O-in O-Japan O-for O-Klein X-##wo X-##rt O-Benson O-International O-Inc O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday O-' X-s B-CD-88 X-. X-12 X-- X-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose B-CD-19 O-to B-CD-70 X-##5 O-ye X-##n O-( X-$ B-CD-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained B-CD-17 O-to B-CD-73 X-##5 O-."
"Construction shares that gained included Shimizu, which rose 130 to 2,080.","O-Construction O-shares O-that O-gained O-included O-Shi X-##mi X-##zu O-, O-which O-rose B-CD-130 O-to B-CD-2 X-, X-08 X-##0 O-."
"In the real estate sector, Mitsui Real Estate Development was up 100 at 2,760, and Mitsubishi Estate gained 80 to 2,360.","O-In O-the O-real O-estate O-sector O-, O-Mi X-##tsu X-##i O-Real O-Estate O-Development O-was O-up B-CD-100 O-at B-CD-2 X-, X-760 O-, O-and O-Mitsubishi O-Estate O-gained B-CD-80 O-to B-CD-2 X-, X-360 O-."
London's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5.,O-London O-' X-s O-Financial O-Times X-- X-Stock O-Exchange B-CD-100 X-- X-share O-index O-fell B-CD-27 X-. X-9 O-points O-to B-CD-213 X-##5 X-. X-5 O-.
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down O-more O-than B-CD-40 O-points O-a O-half X-- X-hour O-before O-the O-close O-, O-marking O-a O-61 X-. X-5 X-- X-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first B-CD-15 O-minutes O-of O-trading O-."
The narrower Financial Times 30-share index fell 29.6 to 1730.7.,O-The O-narrower O-Financial O-Times B-CD-30 X-- X-share O-index O-fell B-CD-29 X-. X-6 O-to B-CD-1730 X-. X-7 O-.
"Volume was an active 643.3 million shares, about double the recent levels but down from 959.3 million the previous day, which U.K. traders have dubbed ""Manic Monday.""","O-Volume O-was O-an O-active B-CD-64 X-##3 X-. X-3 B-CD-million O-shares O-, O-about O-double O-the O-recent O-levels O-but O-down O-from B-CD-95 X-##9 X-. X-3 B-CD-million O-the O-previous O-day O-, O-which O-U X-. X-K X-. O-traders O-have O-dubbed O-"" O-Man X-##ic O-Monday O-. O-"""
The unexpectedly wide U.S. August trade deficit of $10.77 billion hit an already jittery U.K. market in midafternoon.,O-The O-unexpectedly O-wide O-U X-. X-S X-. O-August O-trade O-deficit O-of O-$ B-CD-10 X-. X-77 B-CD-billion O-hit O-an O-already O-ji X-##tter X-##y O-U X-. X-K X-. O-market O-in O-mid X-##aft X-##ern X-##oon O-.
"He said the current market ""is all about sentiment, and the sentiment in London is 90% anxiety and worry.""","O-He O-said O-the O-current O-market O-"" O-is O-all O-about O-sentiment O-, O-and O-the O-sentiment O-in O-London O-is B-CD-90 O-% O-anxiety O-and O-worry O-. O-"""
"Morgan Grenfell, which has been mentioned in takeover rumors, rose 20 to 392 pence ($6.18) a share.","O-Morgan O-G X-##ren X-##fell O-, O-which O-has O-been O-mentioned O-in O-takeover O-rumors O-, O-rose B-CD-20 O-to B-CD-39 X-##2 O-pen X-##ce O-( X-$ B-CD-6 X-. X-18 O-) O-a O-share O-."
"S.G. Warburg, a rumored target of some European banking concerns, finished 22 higher at 400.","O-S X-. X-G O-. O-War X-##burg O-, O-a O-rumored O-target O-of O-some O-European O-banking O-concerns O-, O-finished B-CD-22 O-higher O-at B-CD-400 O-."
"Hambros rose 5 to 204, and Schroders rose 25 to #12.75.","O-Ham X-##bro X-##s O-rose B-CD-5 O-to B-CD-204 O-, O-and O-Sc X-##hr X-##ode X-##rs O-rose B-CD-25 O-to O-# B-CD-12 X-. X-75 O-."
"On the corporate front, Ford Motor announced that it raised its stake in U.K. luxury car maker Jaguar to 10.4% from 5%.","O-On O-the O-corporate O-front O-, O-Ford O-Motor O-announced O-that O-it O-raised O-its O-stake O-in O-U X-. X-K X-. O-luxury O-car O-maker O-Jaguar O-to B-CD-10 X-. X-4 O-% O-from B-CD-5 O-% O-."
"Jaguar shares jumped 23 before easing to close at 654, up 6.","O-Jaguar O-shares O-jumped B-CD-23 O-before O-e X-##asing O-to O-close O-at B-CD-65 X-##4 O-, O-up B-CD-6 O-."
"Amstrad, a British computer hardware and communications equipment maker, eased 4 to 47.","O-Am X-##stra X-##d O-, O-a O-British O-computer O-hardware O-and O-communications O-equipment O-maker O-, O-eased B-CD-4 O-to B-CD-47 O-."
It announced a 52% plunge in pretax profit for the latest year.,O-It O-announced O-a B-CD-52 O-% O-p X-##lung X-##e O-in O-pre X-##ta X-##x O-profit O-for O-the O-latest O-year O-.
"Bass ended up 3 higher at 966, Guinness closed at 589, down 7, and Scottish & Newcastle dropped 11 to 359, but Whitbread Class A shares rose 17 to 363.","O-Bass O-ended O-up B-CD-3 O-higher O-at B-CD-96 X-##6 O-, O-Guinness O-closed O-at B-CD-58 X-##9 O-, O-down B-CD-7 O-, O-and O-Scottish O-& O-Newcastle O-dropped B-CD-11 O-to B-CD-35 X-##9 O-, O-but O-W X-##hit X-##bre X-##ad O-Class O-A O-shares O-rose B-CD-17 O-to B-CD-36 X-##3 O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at B-CD-197 O-, O-down B-CD-2 O-, O-on B-CD-13 B-CD-million O-shares O-, O-British O-Petroleum O-fell B-CD-8 O-to B-CD-29 X-##1 O-on B-CD-9 X-. X-4 B-CD-million O-shares O-, O-and O-British O-Telecom O-was B-CD-4 O-lower O-at B-CD-261 O-on O-turnover O-of B-CD-10 B-CD-million O-shares O-."
Cable & Wireless fell 20 to 478.,O-Cable O-& O-Wireless O-fell B-CD-20 O-to B-CD-47 X-##8 O-.
"Also in active trading, British Steel fell 1 to 124 as 20 million shares changed hands.","O-Also O-in O-active O-trading O-, O-British O-Steel O-fell B-CD-1 O-to B-CD-124 O-as B-CD-20 B-CD-million O-shares O-changed O-hands O-."
"Racal Electric, which traded 11 million shares, declined 12 to 218.","O-Ra X-##cal O-Electric O-, O-which O-traded B-CD-11 B-CD-million O-shares O-, O-declined B-CD-12 O-to B-CD-218 O-."
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered B-CD-one X-- X-third O-to O-one X-- X-half O-of O-the O-ground O-they O-lost O-in O-Monday O-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of B-CD-3 X-. X-6 O-% O-to B-CD-4 X-. X-4 O-% O-."
"To make them directly comparable, each index is based on the close of 1969 equaling 100.","O-To O-make O-them O-directly O-comparable O-, O-each O-index O-is O-based O-on O-the O-close O-of B-CD-1969 O-equal X-##ing B-CD-100 O-."
