"In London, stocks closed lower in volatile trading as an opening rally was obliterated by worse-than-expected U.S. trade figures.","O-In O-London O-, O-stocks O-closed B-JJR-lower O-in O-volatile O-trading O-as O-an O-opening O-rally O-was O-o X-##b X-##lite X-##rated O-by O-worse X-- X-than X-- X-expected O-U X-. X-S X-. O-trade O-figures O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was O-relatively O-thin O-at O-an O-estimated O-650 O-million O-shares O-, O-though B-JJR-br X-##isk X-##er O-than O-Monday O-' X-s O-52 X-##6 O-million O-."
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday O-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large X-- X-capital X-##ization O-issues O-, O-reflecting O-the O-fact O-that O-many O-Tokyo O-investors O-now O-feel B-JJR-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
"They also are concerned about the persistent strength of the dollar against the yen, as a weaker yen leads to higher import prices in Japan and adds to domestic inflationary pressures.","O-They O-also O-are O-concerned O-about O-the O-persistent O-strength O-of O-the O-dollar O-against O-the O-ye X-##n O-, O-as O-a B-JJR-weaker O-ye X-##n O-leads O-to B-JJR-higher O-import O-prices O-in O-Japan O-and O-adds O-to O-domestic O-inflation X-##ary O-pressures O-."
"It was down more than 40 points a half-hour before the close, marking a 61.5-point turnaround from its high, reached in the first 15 minutes of trading.","O-It O-was O-down B-JJR-more O-than O-40 O-points O-a O-half X-- X-hour O-before O-the O-close O-, O-marking O-a O-61 X-. X-5 X-- X-point O-turn X-##around O-from O-its O-high O-, O-reached O-in O-the O-first O-15 O-minutes O-of O-trading O-."
The narrower Financial Times 30-share index fell 29.6 to 1730.7.,O-The B-JJR-narrower O-Financial O-Times O-30 X-- X-share O-index O-fell O-29 X-. X-6 O-to O-1730 X-. X-7 O-.
Merchant banks were stronger across the board.,O-Merchant O-banks O-were B-JJR-stronger O-across O-the O-board O-.
"S.G. Warburg, a rumored target of some European banking concerns, finished 22 higher at 400.","O-S X-. X-G O-. O-War X-##burg O-, O-a O-rumored O-target O-of O-some O-European O-banking O-concerns O-, O-finished O-22 B-JJR-higher O-at O-400 O-."
"Brewery stocks were firm to higher on talk of early bargain-hunting, but most ended below their peaks.","O-Brewery O-stocks O-were O-firm O-to B-JJR-higher O-on O-talk O-of O-early O-bargain X-- X-hunting O-, O-but O-most O-ended O-below O-their O-peaks O-."
"Bass ended up 3 higher at 966, Guinness closed at 589, down 7, and Scottish & Newcastle dropped 11 to 359, but Whitbread Class A shares rose 17 to 363.","O-Bass O-ended O-up O-3 B-JJR-higher O-at O-96 X-##6 O-, O-Guinness O-closed O-at O-58 X-##9 O-, O-down O-7 O-, O-and O-Scottish O-& O-Newcastle O-dropped O-11 O-to O-35 X-##9 O-, O-but O-W X-##hit X-##bre X-##ad O-Class O-A O-shares O-rose O-17 O-to O-36 X-##3 O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at O-197 O-, O-down O-2 O-, O-on O-13 O-million O-shares O-, O-British O-Petroleum O-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 O-million O-shares O-, O-and O-British O-Telecom O-was O-4 B-JJR-lower O-at O-261 O-on O-turnover O-of O-10 O-million O-shares O-."
"Paris closed lower, and most Brussels shares were unable to trade for a second consecutive day because of technical problems.","O-Paris O-closed B-JJR-lower O-, O-and O-most O-Brussels O-shares O-were O-unable O-to O-trade O-for O-a O-second O-consecutive O-day O-because O-of O-technical O-problems O-."
South African gold stocks closed higher.,O-South O-African O-gold O-stocks O-closed B-JJR-higher O-.
"2 aluminum company said earnings were hurt by lower prices for certain fabricated aluminum products, which typically follow price fluctuations of primary ingots.","O-2 O-aluminum O-company O-said O-earnings O-were O-hurt O-by B-JJR-lower O-prices O-for O-certain O-fabricated O-aluminum O-products O-, O-which O-typically O-follow O-price O-flu X-##ct X-##uations O-of O-primary O-ing X-##ots O-."
The base metal price has dropped 30.3% from a year earlier to 78 cents a pound.,O-The O-base O-metal O-price O-has O-dropped O-30 X-. X-3 O-% O-from O-a O-year B-JJR-earlier O-to O-78 O-cents O-a O-pound O-.
