"Japanese investors, reassured by Monday's strong rally on Wall Street, erased most of that day's losses on the Tokyo Stock Exchange.","O-Japanese O-investors O-, O-reassure X-##d O-by B-NNP-Monday O-' X-s O-strong O-rally O-on B-NNP-Wall B-NNP-Street O-, O-erased O-most O-of O-that O-day O-' X-s O-losses O-on O-the B-NNP-Tokyo B-NNP-Stock B-NNP-Exchange O-."
"In London, stocks closed lower in volatile trading as an opening rally was obliterated by worse-than-expected U.S. trade figures.","O-In B-NNP-London O-, O-stocks O-closed O-lower O-in O-volatile O-trading O-as O-an O-opening O-rally O-was O-o X-##b X-##lite X-##rated O-by O-worse X-- X-than X-- X-expected B-NNP-U X-. X-S X-. O-trade O-figures O-."
"Paris shares had a similar reaction, but most other European bourses posted gains, as did all major Asian and Pacific stock markets.","B-NNP-Paris O-shares O-had O-a O-similar O-reaction O-, O-but O-most O-other O-European O-b X-##ours X-##es O-posted O-gains O-, O-as O-did O-all O-major O-Asian O-and B-NNP-Pacific O-stock O-markets O-."
Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,B-NNP-Tokyo O-' X-s B-NNP-Nik X-##ke X-##i B-NNP-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year O-' X-s O-biggest O-drop O-on B-NNP-Monday O-, O-when O-the B-NNP-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or O-1 X-. X-8 O-% O-, O-in O-response O-to B-NNP-Friday O-' X-s O-6 X-. X-9 O-% O-p X-##lung X-##e O-on B-NNP-Wall B-NNP-Street O-."
"In early trading Wednesday in Tokyo, the Nikkei index rose 19.30 points to 35015.38.","O-In O-early O-trading B-NNP-Wednesday O-in B-NNP-Tokyo O-, O-the B-NNP-Nik X-##ke X-##i O-index O-rose O-19 X-. X-30 O-points O-to O-350 X-##15 X-. X-38 O-."
"On Tuesday, the broader-based Tokyo Stock Price Index of issues listed in the first section, which fell 45.66 Monday, rose 41.76, or 1.61%, to 2642.64.","O-On B-NNP-Tuesday O-, O-the O-broader X-- X-based B-NNP-Tokyo B-NNP-Stock B-NNP-Price B-NNP-Index O-of O-issues O-listed O-in O-the O-first O-section O-, O-which O-fell O-45 X-. X-66 B-NNP-Monday O-, O-rose O-41 X-. X-76 O-, O-or O-1 X-. X-61 O-% O-, O-to O-264 X-##2 X-. X-64 O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was O-relatively O-thin O-at O-an O-estimated O-650 O-million O-shares O-, O-though O-br X-##isk X-##er O-than B-NNP-Monday O-' X-s O-52 X-##6 O-million O-."
"""We're back to square one,"" said Simon Smithson, an analyst in Japan for Kleinwort Benson International Inc.","O-"" O-We O-' X-re O-back O-to O-square O-one O-, X-"" O-said B-NNP-Simon B-NNP-Smith X-##son O-, O-an O-analyst O-in B-NNP-Japan O-for B-NNP-Klein X-##wo X-##rt B-NNP-Benson B-NNP-International B-NNP-Inc O-."
"Japanese domestic institutions, including trust banks and investment management firms, that had been on the sidelines during Monday's fall were back in the market, analysts said.","O-Japanese O-domestic O-institutions O-, O-including O-trust O-banks O-and O-investment O-management O-firms O-, O-that O-had O-been O-on O-the O-side X-##lines O-during B-NNP-Monday O-' X-s O-fall O-were O-back O-in O-the O-market O-, O-analysts O-said O-."
