"Volume was an active 643.3 million shares, about double the recent levels but down from 959.3 million the previous day, which U.K. traders have dubbed ""Manic Monday.""","O-Volume O-was O-an O-active O-64 X-##3 X-. X-3 O-million O-shares O-, O-about B-PDT-double O-the O-recent O-levels O-but O-down O-from O-95 X-##9 X-. X-3 O-million O-the O-previous O-day O-, O-which O-U X-. X-K X-. O-traders O-have O-dubbed O-"" O-Man X-##ic O-Monday O-. O-"""
"And they won't consider such a dividend, the trust added, before results are available for the first quarter of 1990.","O-And O-they O-w X-##o O-n X-' X-t O-consider B-PDT-such O-a O-divide X-##nd O-, O-the O-trust O-added O-, O-before O-results O-are O-available O-for O-the O-first O-quarter O-of O-1990 O-."
"Long-term Treasury issues declined about half a point, or $5 for each $1,000 face amount.","O-Long X-- X-term O-Treasury O-issues O-declined O-about B-PDT-half O-a O-point O-, O-or O-$ O-5 O-for O-each O-$ O-1 X-, X-000 O-face O-amount O-."
"More than half the decline in Ford's expected car output comes from closing its Escort plant in Wayne, Mich., as of Nov. 22 to prepare for production of the next generation of the popular subcompact.","O-More O-than B-PDT-half O-the O-decline O-in O-Ford O-' X-s O-expected O-car O-output O-comes O-from O-closing O-its O-E X-##sco X-##rt O-plant O-in O-Wayne O-, O-Mi X-##ch X-. O-, O-as O-of O-Nov X-. O-22 O-to O-prepare O-for O-production O-of O-the O-next O-generation O-of O-the O-popular O-sub X-##com X-##pa X-##ct O-."
Universal says that it wanted all its creators to share in the television venture and Belo wouldn't promote features appearing in its competition.,O-Universal O-says O-that O-it O-wanted B-PDT-all O-its O-creators O-to O-share O-in O-the O-television O-venture O-and O-Bel X-##o O-would O-n X-' X-t O-promote O-features O-appearing O-in O-its O-competition O-.
(Creators of syndicated features generally receive about half the fee a newspaper pays for their work.),O-( O-C X-##reator X-##s O-of O-syndicated O-features O-generally O-receive O-about B-PDT-half O-the O-fee O-a O-newspaper O-pays O-for O-their O-work O-. O-)
"Goodrich's vinyl-products segment reported operating profit for the quarter of $30.1 million, less than half the $64.1 million of the year-earlier quarter.","O-Good X-##rich O-' X-s O-vinyl X-- X-products O-segment O-reported O-operating O-profit O-for O-the O-quarter O-of O-$ O-30 X-. X-1 O-million O-, O-less O-than B-PDT-half O-the O-$ O-64 X-. X-1 O-million O-of O-the O-year X-- X-earlier O-quarter O-."
Kia is reportedly also considering such a plan.,O-Ki X-##a O-is O-reportedly O-also O-considering B-PDT-such O-a O-plan O-.
Enserch had offered one-half a share of its common and $1 in cash for each unit.,O-En X-##ser X-##ch O-had O-offered B-PDT-one X-- X-half O-a O-share O-of O-its O-common O-and O-$ O-1 O-in O-cash O-for O-each O-unit O-.
"In 1960, for example, when Mr. Noriega was both a cadet at an elite military academy in Peru and a spy-in-training for the U.S. Defense Intelligence Agency, he was detained by Lima authorities for allegedly raping and savagely beating a prostitute, according to a U.S. Embassy cable from that period.","O-In O-1960 O-, O-for O-example O-, O-when O-Mr X-. O-Nor X-##ie X-##ga O-was B-PDT-both O-a O-cadet O-at O-an O-elite O-military O-academy O-in O-Peru O-and O-a O-spy X-- X-in X-- X-training O-for O-the O-U X-. X-S X-. O-Defense O-Intelligence O-Agency O-, O-he O-was O-detained O-by O-Lima O-authorities O-for O-allegedly O-rap X-##ing O-and O-savage X-##ly O-beating O-a O-prostitute O-, O-according O-to O-a O-U X-. X-S X-. O-Embassy O-cable O-from O-that O-period O-."
"And, all the while, Panama's debt problems continued to grow.","O-And O-, B-PDT-all O-the O-while O-, O-Panama O-' X-s O-debt O-problems O-continued O-to O-grow O-."
"Gold, which hasn't risen or fallen significantly in quite some time, yesterday achieved what may be a new level of impassiveness: The most actively traded futures contracts closed unchanged despite nervous fluctuations in both the dollar and the stock market.","O-Gold O-, O-which O-has O-n X-' X-t O-risen O-or O-fallen O-significantly O-in B-PDT-quite O-some O-time O-, O-yesterday O-achieved O-what O-may O-be O-a O-new O-level O-of O-imp X-##ass X-##ive X-##ness O-: O-The O-most O-actively O-traded O-future X-##s O-contracts O-closed O-unchanged O-despite O-nervous O-flu X-##ct X-##uations O-in B-PDT-both O-the O-dollar O-and O-the O-stock O-market O-."
"According to an analyst, Cuba can't meet all its shipment commitments and has asked Japan to accept a delay of shipments scheduled for later this year, into early next year.","O-According O-to O-an O-analyst O-, O-Cuba O-ca O-n X-' X-t O-meet B-PDT-all O-its O-shipment O-commitments O-and O-has O-asked O-Japan O-to O-accept O-a O-delay O-of O-shipment X-##s O-scheduled O-for O-later O-this O-year O-, O-into O-early O-next O-year O-."
"Bankers Trust added $1.6 billion to reserves for Third World loans, the latest big bank to take such a step.","O-Bank X-##ers O-Trust O-added O-$ O-1 X-. X-6 O-billion O-to O-reserves O-for O-Third O-World O-loans O-, O-the O-latest O-big O-bank O-to O-take B-PDT-such O-a O-step O-."
"""That's still an improvement over last year, but it leads one to conclude that basically we've gotten all the mileage we can out of past dollar depreciation and past marginal cuts in the federal budget deficit.""","O-"" O-That O-' X-s O-still O-an O-improvement O-over O-last O-year O-, O-but O-it O-leads O-one O-to O-conclude O-that O-basically O-we O-' X-ve O-gotten B-PDT-all O-the O-mile X-##age O-we O-can O-out O-of O-past O-dollar O-de X-##p X-##re X-##ciation O-and O-past O-marginal O-cuts O-in O-the O-federal O-budget O-deficit O-. O-"""
