"Japanese investors, reassured by Monday's strong rally on Wall Street, erased most of that day's losses on the Tokyo Stock Exchange.","O-Japanese O-investors O-, O-reassure X-##d O-by O-Monday B-POS-' X-s O-strong O-rally O-on O-Wall O-Street O-, O-erased O-most O-of O-that O-day B-POS-' X-s O-losses O-on O-the O-Tokyo O-Stock O-Exchange O-."
Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo B-POS-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The rise came a day after the year's biggest drop on Monday, when the Nikkei fell 647.33, or 1.8%, in response to Friday's 6.9% plunge on Wall Street.","O-The O-rise O-came O-a O-day O-after O-the O-year B-POS-' X-s O-biggest O-drop O-on O-Monday O-, O-when O-the O-Nik X-##ke X-##i O-fell O-64 X-##7 X-. X-33 O-, O-or O-1 X-. X-8 O-% O-, O-in O-response O-to O-Friday B-POS-' X-s O-6 X-. X-9 O-% O-p X-##lung X-##e O-on O-Wall O-Street O-."
"Trading was relatively thin at an estimated 650 million shares, though brisker than Monday's 526 million.","O-Trading O-was O-relatively O-thin O-at O-an O-estimated O-650 O-million O-shares O-, O-though O-br X-##isk X-##er O-than O-Monday B-POS-' X-s O-52 X-##6 O-million O-."
"Japanese domestic institutions, including trust banks and investment management firms, that had been on the sidelines during Monday's fall were back in the market, analysts said.","O-Japanese O-domestic O-institutions O-, O-including O-trust O-banks O-and O-investment O-management O-firms O-, O-that O-had O-been O-on O-the O-side X-##lines O-during O-Monday B-POS-' X-s O-fall O-were O-back O-in O-the O-market O-, O-analysts O-said O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday B-POS-' X-s O-88 X-. X-12 X-- X-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday B-POS-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large X-- X-capital X-##ization O-issues O-, O-reflecting O-the O-fact O-that O-many O-Tokyo O-investors O-now O-feel O-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
London's Financial Times-Stock Exchange 100-share index fell 27.9 points to 2135.5.,O-London B-POS-' X-s O-Financial O-Times X-- X-Stock O-Exchange O-100 X-- X-share O-index O-fell O-27 X-. X-9 O-points O-to O-213 X-##5 X-. X-5 O-.
Prices opened strongly on the basis of Monday's Wall Street rally and yesterday's gains in Tokyo.,O-Price X-##s O-opened O-strongly O-on O-the O-basis O-of O-Monday B-POS-' X-s O-Wall O-Street O-rally O-and O-yesterday B-POS-' X-s O-gains O-in O-Tokyo O-.
"Britain's economic fundamentals, he said, ""don't look very bright.""","O-Britain B-POS-' X-s O-economic O-fundamental X-##s O-, O-he O-said O-, O-"" O-do O-n X-' X-t O-look O-very O-bright O-. O-"""
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered O-one X-- X-third O-to O-one X-- X-half O-of O-the O-ground O-they O-lost O-in O-Monday B-POS-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of O-3 X-. X-6 O-% O-to O-4 X-. X-4 O-% O-."
"Here are price trends on the world's major stock markets, as calculated by Morgan Stanley Capital International Perspective, Geneva.","O-Here O-are O-price O-trends O-on O-the O-world B-POS-' X-s O-major O-stock O-markets O-, O-as O-calculated O-by O-Morgan O-Stanley O-Capital O-International O-Per X-##spective O-, O-Geneva O-."
The nation's No.,O-The O-nation B-POS-' X-s O-No O-.
Much of the price decline has been blamed on a slowing economy and the third quarter is typically the industry's slowest period.,O-Much O-of O-the O-price O-decline O-has O-been O-blamed O-on O-a O-slowing O-economy O-and O-the O-third O-quarter O-is O-typically O-the O-industry B-POS-' X-s O-slow X-##est O-period O-.
"On Oct. 22, led by Saudi Arabia, the world's largest exporter, they embargoed oil shipments to the U.S. and to the Netherlands, Israel's staunchest European ally.","O-On O-Oct X-. O-22 O-, O-led O-by O-Saudi O-Arabia O-, O-the O-world B-POS-' X-s O-largest O-export X-##er O-, O-they O-em X-##bar X-##go X-##ed O-oil O-shipment X-##s O-to O-the O-U X-. X-S X-. O-and O-to O-the O-Netherlands O-, O-Israel B-POS-' X-s O-s X-##ta X-##unch X-##est O-European O-ally O-."
"The following were among yesterday's offerings and pricings in the U.S. and non-U.S. capital markets, with terms and syndicate manager, as compiled by Dow Jones Capital Markets Report:","O-The O-following O-were O-among O-yesterday B-POS-' X-s O-offerings O-and O-pricing X-##s O-in O-the O-U X-. X-S X-. O-and O-non X-- X-U X-. X-S X-. O-capital O-markets O-, O-with O-terms O-and O-s X-##yn X-##dicate O-manager O-, O-as O-compiled O-by O-Dow O-Jones O-Capital O-Markets O-Report O-:"
The issue was priced at a spread of 137.5 basis points above the Treasury's 10-year note.,O-The O-issue O-was O-priced O-at O-a O-spread O-of O-137 X-. X-5 O-basis O-points O-above O-the O-Treasury B-POS-' X-s O-10 X-- X-year O-note O-.
"Rated single-A-3 by Moody's Investors Service Inc. and single-A by Standard & Poor's Corp., the issue will be sold through underwriters led by Goldman, Sachs & Co.","O-Rate X-##d O-single X-- X-A X-- X-3 O-by O-Moody B-POS-' X-s O-In X-##ves X-##tors O-Service O-Inc X-. O-and O-single X-- X-A O-by O-Standard O-& O-Poor B-POS-' X-s O-Corp X-. O-, O-the O-issue O-will O-be O-sold O-through O-under X-##writer X-##s O-led O-by O-Goldman O-, O-Sachs O-& O-Co O-."
"The bonds are rated double-A-2 by Moody's and double-A by S&P, according to the lead underwriter.","O-The O-bonds O-are O-rated O-double X-- X-A X-- X-2 O-by O-Moody B-POS-' X-s O-and O-double X-- X-A O-by O-S O-& O-P O-, O-according O-to O-the O-lead O-under X-##writer O-."
The bonds are insured and rated triple-A by Moody's and S&P.,O-The O-bonds O-are O-ins X-##ured O-and O-rated O-triple X-- X-A O-by O-Moody B-POS-' X-s O-and O-S O-& O-P O-.
"The bonds have received a rating of double-A-1 from Moody's, and a double-A-plus rating is expected from S&P, the underwriter said.","O-The O-bonds O-have O-received O-a O-rating O-of O-double X-- X-A X-- X-1 O-from O-Moody B-POS-' X-s O-, O-and O-a O-double X-- X-A X-- X-plus O-rating O-is O-expected O-from O-S O-& O-P O-, O-the O-under X-##writer O-said O-."
The notes are rated MIG-1 by Moody's and SP1-plus by S&P.,O-The O-notes O-are O-rated O-MI X-##G X-- X-1 O-by O-Moody B-POS-' X-s O-and O-SP X-##1 X-- X-plus O-by O-S O-& O-P O-.
"The bonds, rated single-A by Moody's and double-A by S&P, were priced to yield from 6.20% in 1992 to 7.26% in 2019.","O-The O-bonds O-, O-rated O-single X-- X-A O-by O-Moody B-POS-' X-s O-and O-double X-- X-A O-by O-S O-& O-P O-, O-were O-priced O-to O-yield O-from O-6 X-. X-20 O-% O-in O-1992 O-to O-7 X-. X-26 O-% O-in O-2019 O-."
The issue brings Fannie Mae's 1989 Remic issuance to $30.2 billion and its total volume to $42.3 billion since the program began in April 1987.,O-The O-issue O-brings O-Fan X-##nie O-Mae B-POS-' X-s O-1989 O-Re X-##mic O-is X-##su X-##ance O-to O-$ O-30 X-. X-2 O-billion O-and O-its O-total O-volume O-to O-$ O-42 X-. X-3 O-billion O-since O-the O-program O-began O-in O-April O-1987 O-.
The 30-year issue was priced at a spread of 105 basis points above the Treasury's 30-year bellwether bond.,O-The O-30 X-- X-year O-issue O-was O-priced O-at O-a O-spread O-of O-105 O-basis O-points O-above O-the O-Treasury B-POS-' X-s O-30 X-- X-year O-bell X-##we X-##ther O-bond O-.
The 10-year issue was priced at a spread of 43 basis points above the Treasury's 10-year note.,O-The O-10 X-- X-year O-issue O-was O-priced O-at O-a O-spread O-of O-43 O-basis O-points O-above O-the O-Treasury B-POS-' X-s O-10 X-- X-year O-note O-.
The five-year issue was priced at a spread of 43 basis points above the Treasury's comparable note.,O-The O-five X-- X-year O-issue O-was O-priced O-at O-a O-spread O-of O-43 O-basis O-points O-above O-the O-Treasury B-POS-' X-s O-comparable O-note O-.
The issue is rated triple-A by Moody's and triple-A by S&P.,O-The O-issue O-is O-rated O-triple X-- X-A O-by O-Moody B-POS-' X-s O-and O-triple X-- X-A O-by O-S O-& O-P O-.
Federal prosecutors said they have obtained a guilty plea from another person in the government's ongoing probe of illegal payments in the record industry.,O-Federal O-prosecutors O-said O-they O-have O-obtained O-a O-guilty O-plea O-from O-another O-person O-in O-the O-government B-POS-' X-s O-ongoing O-probe O-of O-illegal O-payments O-in O-the O-record O-industry O-.
"In return, Mr. Craig agreed to cooperate in the government's continuing payola probe, says a spokeswoman for the U.S. attorney's office.","O-In O-return O-, O-Mr X-. O-Craig O-agreed O-to O-cooperate O-in O-the O-government B-POS-' X-s O-continuing O-pay X-##ola O-probe O-, O-says O-a O-spoke X-##s X-##woman O-for O-the O-U X-. X-S X-. O-attorney B-POS-' X-s O-office O-."
NBC's winning streak has been canceled.,O-NBC B-POS-' X-s O-winning O-streak O-has O-been O-canceled O-.
NBC was second with a 13.9 rating and 24 share followed by CBS Inc. 's television network with a 12.5 rating and 21 share.,O-NBC O-was O-second O-with O-a O-13 X-. X-9 O-rating O-and O-24 O-share O-followed O-by O-CBS O-Inc O-. B-POS-' B-POS-s O-television O-network O-with O-a O-12 X-. X-5 O-rating O-and O-21 O-share O-.
"The highest-rated show continues to be ABC's ""Roseanne.""","O-The O-highest X-- X-rated O-show O-continues O-to O-be O-ABC B-POS-' X-s O-"" O-Rose X-##anne O-. O-"""
"With a jazz-piano tape playing softly in the background, the soothing hands of Sabina Vidunas begin to work on Ms. Foster's neck and shoulders.","O-With O-a O-jazz X-- X-piano O-tape O-playing O-softly O-in O-the O-background O-, O-the O-soothing O-hands O-of O-Sa X-##bina O-V X-##id X-##una X-##s O-begin O-to O-work O-on O-Ms O-. O-Foster B-POS-' X-s O-neck O-and O-shoulders O-."
