Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of O-225 O-stocks O-jumped O-52 X-##7 X-. X-39 O-points B-TO-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"The Tokyo rally seemed to confirm the view, frequently expressed in Japan in the past few days, that the drop in New York was a local problem related to merger and acquisition activity in the U.S.","O-The O-Tokyo O-rally O-seemed B-TO-to O-confirm O-the O-view O-, O-frequently O-expressed O-in O-Japan O-in O-the O-past O-few O-days O-, O-that O-the O-drop O-in O-New O-York O-was O-a O-local O-problem O-related O-to O-merger O-and O-acquisition O-activity O-in O-the O-U X-. X-S O-."
"""This time we don't really have to worry about Tokyo,"" said an official at Daiwa Securities Co. ""Nothing has changed fundamentally in the Tokyo market.""","O-"" O-This O-time O-we O-do O-n X-' X-t O-really O-have B-TO-to O-worry O-about O-Tokyo O-, X-"" O-said O-an O-official O-at O-Dai X-##wa O-Securities O-Co O-. O-"" O-Nothing O-has O-changed O-fundamental X-##ly O-in O-the O-Tokyo O-market O-. O-"""
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street B-TO-to O-see O-whether O-Monday O-' X-s O-88 X-. X-12 X-- X-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
Currency concerns also weigh heavily on interest rate-sensitive stocks such as banking and other financial issues because of fears that Japanese interest rates might have to rise to keep the dollar in check.,O-C X-##ur X-##ren X-##cy O-concerns O-also O-weigh O-heavily O-on O-interest O-rate X-- X-sensitive O-stocks O-such O-as O-banking O-and O-other O-financial O-issues O-because O-of O-fears O-that O-Japanese O-interest O-rates O-might O-have B-TO-to O-rise B-TO-to O-keep O-the O-dollar O-in O-check O-.
"Jaguar shares jumped 23 before easing to close at 654, up 6.","O-Jaguar O-shares O-jumped O-23 O-before O-e X-##asing B-TO-to O-close O-at O-65 X-##4 O-, O-up O-6 O-."
"Paris closed lower, and most Brussels shares were unable to trade for a second consecutive day because of technical problems.","O-Paris O-closed O-lower O-, O-and O-most O-Brussels O-shares O-were O-unable B-TO-to O-trade O-for O-a O-second O-consecutive O-day O-because O-of O-technical O-problems O-."
"To make them directly comparable, each index is based on the close of 1969 equaling 100.","B-TO-To O-make O-them O-directly O-comparable O-, O-each O-index O-is O-based O-on O-the O-close O-of O-1969 O-equal X-##ing O-100 O-."
Reynolds is the third big aluminum company since Friday to report disappointing earnings.,O-Reynolds O-is O-the O-third O-big O-aluminum O-company O-since O-Friday B-TO-to O-report O-disappointing O-earnings O-.
"But William O. Bourke, chairman and chief executive officer, said the ingot price ""appears to have bottomed out.""","O-But O-William O-O X-. O-Bo X-##ur X-##ke O-, O-chairman O-and O-chief O-executive O-officer O-, O-said O-the O-ing X-##ot O-price O-"" O-appears B-TO-to O-have O-bottom X-##ed O-out O-. O-"""
"In 1956, when Britain, France and Israel invaded Egypt to seize the Suez Canal, Arab producers cut off supplies to Europe.","O-In O-1956 O-, O-when O-Britain O-, O-France O-and O-Israel O-invaded O-Egypt B-TO-to O-seize O-the O-Suez O-Canal O-, O-Arab O-producers O-cut O-off O-supplies O-to O-Europe O-."
