The No.,O-The B-UH-No O-.
The nation's No.,O-The O-nation O-' X-s B-UH-No O-.
CBS held the previous record for consecutive No.,O-CBS O-held O-the O-previous O-record O-for O-consecutive B-UH-No O-.
"""Sometimes, with the release of stress, you hear `oohs' and `ahs' coming out of the room,"" explains Morgan Banks, the agency's health specialist.","O-"" O-Sometimes O-, O-with O-the O-release O-of O-stress O-, O-you O-hear O-` O-o X-##oh X-##s X-' O-and O-` B-UH-ah X-##s X-' O-coming O-out O-of O-the O-room O-, X-"" O-explains O-Morgan O-Banks O-, O-the O-agency O-' X-s O-health O-specialist O-."
"""And you can't have taxpayers coming into an audit hearing `oohs' and `ahs. '""","O-"" O-And O-you O-ca O-n X-' X-t O-have O-tax X-##payers O-coming O-into O-an O-audit O-hearing O-` B-UH-o X-##oh X-##s X-' O-and O-` B-UH-ah X-##s O-. O-' X-"""
"(""Will the Real Jim Please Stand Up?""","O-( X-"" O-Will O-the O-Real O-Jim B-UH-Please O-Stand O-Up O-? O-"""
Being the No.,O-Being O-the B-UH-No O-.
"The Dallas Morning News, the No.","O-The O-Dallas O-Morning O-News O-, O-the B-UH-No O-."
Showtime is a distant No.,O-Showtime O-is O-a O-distant B-UH-No O-.
"Mr. Paul says, yes, the ceiling in his executive suite is gold-leaf inlay.","O-Mr X-. O-Paul O-says O-, B-UH-yes O-, O-the O-ceiling O-in O-his O-executive O-suite O-is O-gold X-- X-leaf O-in X-##lay O-."
"Yes, they have higher down-payment requirements.","B-UH-Yes O-, O-they O-have O-higher O-down X-- X-payment O-requirements O-."
"Mr. Siegel asked Mr. Freeman who his source was and, on hearing that it was Bunny Lasker, responded: ""Well, your bunny has a good nose.""","O-Mr X-. O-Siege X-##l O-asked O-Mr X-. O-Freeman O-who O-his O-source O-was O-and O-, O-on O-hearing O-that O-it O-was O-Bunny O-Las X-##ker O-, O-responded O-: O-"" B-UH-Well O-, O-your O-b X-##un X-##ny O-has O-a O-good O-nose O-. O-"""
