"""We're back to square one,"" said Simon Smithson, an analyst in Japan for Kleinwort Benson International Inc.","O-"" O-We B-VBP-' X-re O-back O-to O-square O-one O-, X-"" O-said O-Simon O-Smith X-##son O-, O-an O-analyst O-in O-Japan O-for O-Klein X-##wo X-##rt O-Benson O-International O-Inc O-."
"""This time we don't really have to worry about Tokyo,"" said an official at Daiwa Securities Co. ""Nothing has changed fundamentally in the Tokyo market.""","O-"" O-This O-time O-we B-VBP-do O-n X-' X-t O-really O-have O-to O-worry O-about O-Tokyo O-, X-"" O-said O-an O-official O-at O-Dai X-##wa O-Securities O-Co O-. O-"" O-Nothing O-has O-changed O-fundamental X-##ly O-in O-the O-Tokyo O-market O-. O-"""
"But even though Tokyo appears unharmed by recent market volatility, analysts and traders say there are still a few concerns on the horizon.","O-But O-even O-though O-Tokyo O-appears O-un X-##har X-##med O-by O-recent O-market O-vol X-##ati X-##lity O-, O-analysts O-and O-traders B-VBP-say O-there B-VBP-are O-still O-a O-few O-concerns O-on O-the O-horizon O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday O-' X-s O-88 X-. X-12 X-- X-point O-rally O-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data B-VBP-are O-released O-."
"""People are placing small bets.","O-"" O-People B-VBP-are O-placing O-small O-bet X-##s O-."
"Yesterday's buyers favored real estate, construction and other large-capitalization issues, reflecting the fact that many Tokyo investors now feel safer with domestically oriented stocks, analysts said.","O-Yesterday O-' X-s O-buyers O-favored O-real O-estate O-, O-construction O-and O-other O-large X-- X-capital X-##ization O-issues O-, O-reflecting O-the O-fact O-that O-many O-Tokyo O-investors O-now B-VBP-feel O-safer O-with O-domestic X-##ally O-oriented O-stocks O-, O-analysts O-said O-."
"They also are concerned about the persistent strength of the dollar against the yen, as a weaker yen leads to higher import prices in Japan and adds to domestic inflationary pressures.","O-They O-also B-VBP-are O-concerned O-about O-the O-persistent O-strength O-of O-the O-dollar O-against O-the O-ye X-##n O-, O-as O-a O-weaker O-ye X-##n O-leads O-to O-higher O-import O-prices O-in O-Japan O-and O-adds O-to O-domestic O-inflation X-##ary O-pressures O-."
Currency concerns also weigh heavily on interest rate-sensitive stocks such as banking and other financial issues because of fears that Japanese interest rates might have to rise to keep the dollar in check.,O-C X-##ur X-##ren X-##cy O-concerns O-also B-VBP-weigh O-heavily O-on O-interest O-rate X-- X-sensitive O-stocks O-such O-as O-banking O-and O-other O-financial O-issues O-because O-of O-fears O-that O-Japanese O-interest O-rates O-might O-have O-to O-rise O-to O-keep O-the O-dollar O-in O-check O-.
"Volume was an active 643.3 million shares, about double the recent levels but down from 959.3 million the previous day, which U.K. traders have dubbed ""Manic Monday.""","O-Volume O-was O-an O-active O-64 X-##3 X-. X-3 O-million O-shares O-, O-about O-double O-the O-recent O-levels O-but O-down O-from O-95 X-##9 X-. X-3 O-million O-the O-previous O-day O-, O-which O-U X-. X-K X-. O-traders B-VBP-have O-dubbed O-"" O-Man X-##ic O-Monday O-. O-"""
"If you bought, you wish you hadn't, and if you sold, you wish you hadn't.""","O-If O-you O-bought O-, O-you B-VBP-wish O-you O-had O-n X-' X-t O-, O-and O-if O-you O-sold O-, O-you B-VBP-wish O-you O-had O-n X-' X-t O-. O-"""
"Britain's economic fundamentals, he said, ""don't look very bright.""","O-Britain O-' X-s O-economic O-fundamental X-##s O-, O-he O-said O-, O-"" B-VBP-do O-n X-' X-t O-look O-very O-bright O-. O-"""
"Here are price trends on the world's major stock markets, as calculated by Morgan Stanley Capital International Perspective, Geneva.","O-Here B-VBP-are O-price O-trends O-on O-the O-world O-' X-s O-major O-stock O-markets O-, O-as O-calculated O-by O-Morgan O-Stanley O-Capital O-International O-Per X-##spective O-, O-Geneva O-."
