"""This time we don't really have to worry about Tokyo,"" said an official at Daiwa Securities Co. ""Nothing has changed fundamentally in the Tokyo market.""","O-"" O-This O-time O-we O-do O-n X-' X-t O-really O-have O-to O-worry O-about O-Tokyo O-, X-"" O-said O-an O-official O-at O-Dai X-##wa O-Securities O-Co O-. O-"" O-Nothing B-VBZ-has O-changed O-fundamental X-##ly O-in O-the O-Tokyo O-market O-. O-"""
"But even though Tokyo appears unharmed by recent market volatility, analysts and traders say there are still a few concerns on the horizon.","O-But O-even O-though O-Tokyo B-VBZ-appears O-un X-##har X-##med O-by O-recent O-market O-vol X-##ati X-##lity O-, O-analysts O-and O-traders O-say O-there O-are O-still O-a O-few O-concerns O-on O-the O-horizon O-."
"In particular, Japanese investors will be keeping a wary eye on Wall Street to see whether Monday's 88.12-point rally holds up as fresh U.S. economic data are released.","O-In O-particular O-, O-Japanese O-investors O-will O-be O-keeping O-a O-wary O-eye O-on O-Wall O-Street O-to O-see O-whether O-Monday O-' X-s O-88 X-. X-12 X-- X-point O-rally B-VBZ-holds O-up O-as O-fresh O-U X-. X-S X-. O-economic O-data O-are O-released O-."
"There's no huge buying,"" said Stephen Hill, head of equity sales at Jardine Fleming Securities Ltd. in Tokyo.","O-There B-VBZ-' X-s O-no O-huge O-buying O-, X-"" O-said O-Stephen O-Hill O-, O-head O-of O-equity O-sales O-at O-J X-##ard X-##ine O-Fleming O-Securities O-Ltd O-. O-in O-Tokyo O-."
"They also are concerned about the persistent strength of the dollar against the yen, as a weaker yen leads to higher import prices in Japan and adds to domestic inflationary pressures.","O-They O-also O-are O-concerned O-about O-the O-persistent O-strength O-of O-the O-dollar O-against O-the O-ye X-##n O-, O-as O-a O-weaker O-ye X-##n B-VBZ-leads O-to O-higher O-import O-prices O-in O-Japan O-and B-VBZ-adds O-to O-domestic O-inflation X-##ary O-pressures O-."
"Michael Hicks, who manages sales and trading for brokerage concern Societe Generale Strauss Turnbull, said: ""It's a nervous market.","O-Michael O-Hicks O-, O-who B-VBZ-manages O-sales O-and O-trading O-for O-broker X-##age O-concern O-So X-##cie X-##te O-General X-##e O-Strauss O-Turn X-##bull O-, O-said O-: O-"" O-It B-VBZ-' X-s O-a O-nervous O-market O-."
"He said the current market ""is all about sentiment, and the sentiment in London is 90% anxiety and worry.""","O-He O-said O-the O-current O-market O-"" B-VBZ-is O-all O-about O-sentiment O-, O-and O-the O-sentiment O-in O-London B-VBZ-is O-90 O-% O-anxiety O-and O-worry O-. O-"""
"Morgan Grenfell, which has been mentioned in takeover rumors, rose 20 to 392 pence ($6.18) a share.","O-Morgan O-G X-##ren X-##fell O-, O-which B-VBZ-has O-been O-mentioned O-in O-takeover O-rumors O-, O-rose O-20 O-to O-39 X-##2 O-pen X-##ce O-( X-$ O-6 X-. X-18 O-) O-a O-share O-."
"To make them directly comparable, each index is based on the close of 1969 equaling 100.","O-To O-make O-them O-directly O-comparable O-, O-each O-index B-VBZ-is O-based O-on O-the O-close O-of O-1969 O-equal X-##ing O-100 O-."
The percentage change is since year-end.,O-The O-percentage O-change B-VBZ-is O-since O-year X-- X-end O-.
Reynolds is the third big aluminum company since Friday to report disappointing earnings.,O-Reynolds B-VBZ-is O-the O-third O-big O-aluminum O-company O-since O-Friday O-to O-report O-disappointing O-earnings O-.
"""It's a good indication that level of profitability has peaked for the industry,"" says Vahid Fathi, metals analyst with Prescott, Ball & Turben Inc., who had estimated Reynolds would earn about $2.35 a share.","O-"" O-It B-VBZ-' X-s O-a O-good O-indication O-that O-level O-of O-profit X-##ability B-VBZ-has O-peaked O-for O-the O-industry O-, X-"" B-VBZ-says O-V X-##ahi X-##d O-Fat X-##hi O-, O-metals O-analyst O-with O-Prescott O-, O-Ball O-& O-Tu X-##rb X-##en O-Inc X-. O-, O-who O-had O-estimated O-Reynolds O-would O-earn O-about O-$ O-2 X-. X-35 O-a O-share O-."
The base metal price has dropped 30.3% from a year earlier to 78 cents a pound.,O-The O-base O-metal O-price B-VBZ-has O-dropped O-30 X-. X-3 O-% O-from O-a O-year O-earlier O-to O-78 O-cents O-a O-pound O-.
Much of the price decline has been blamed on a slowing economy and the third quarter is typically the industry's slowest period.,O-Much O-of O-the O-price O-decline B-VBZ-has O-been O-blamed O-on O-a O-slowing O-economy O-and O-the O-third O-quarter B-VBZ-is O-typically O-the O-industry O-' X-s O-slow X-##est O-period O-.
"But William O. Bourke, chairman and chief executive officer, said the ingot price ""appears to have bottomed out.""","O-But O-William O-O X-. O-Bo X-##ur X-##ke O-, O-chairman O-and O-chief O-executive O-officer O-, O-said O-the O-ing X-##ot O-price O-"" B-VBZ-appears O-to O-have O-bottom X-##ed O-out O-. O-"""
"He said shipments are continuing at a ""healthy"" pace and the company has no excess inventory.","O-He O-said O-shipment X-##s O-are O-continuing O-at O-a O-"" O-healthy O-"" O-pace O-and O-the O-company B-VBZ-has O-no O-excess O-inventory O-."
But one far-afield effect is still with us.,O-But O-one O-far X-- X-a X-##field O-effect B-VBZ-is O-still O-with O-us O-.
"The U.S. did manage to supply the Dutch with oil by relabeling supplies; once oil is shipped, no one can tell its source.","O-The O-U X-. X-S X-. O-did O-manage O-to O-supply O-the O-Dutch O-with O-oil O-by O-re X-##la X-##bel X-##ing O-supplies O-; O-once O-oil B-VBZ-is O-shipped O-, O-no O-one O-can O-tell O-its O-source O-."
"The bonds have received a rating of double-A-1 from Moody's, and a double-A-plus rating is expected from S&P, the underwriter said.","O-The O-bonds O-have O-received O-a O-rating O-of O-double X-- X-A X-- X-1 O-from O-Moody O-' X-s O-, O-and O-a O-double X-- X-A X-- X-plus O-rating B-VBZ-is O-expected O-from O-S O-& O-P O-, O-the O-under X-##writer O-said O-."
The group is offering the notes priced as 6 3/4% securities to yield 6.25%.,O-The O-group B-VBZ-is O-offering O-the O-notes O-priced O-as O-6 O-3 O-/ O-4 O-% O-securities O-to O-yield O-6 X-. X-25 O-% O-.
"The offering, Series 104, is backed by Freddie Mac 9% securities.","O-The O-offering O-, O-Series O-104 O-, B-VBZ-is O-backed O-by O-Freddie O-Mac O-9 O-% O-securities O-."
"The offering, Series 1989-82, is backed by Fannie Mae 9 1/2% securities and used at-market pricing.","O-The O-offering O-, O-Series O-1989 X-- X-82 O-, B-VBZ-is O-backed O-by O-Fan X-##nie O-Mae O-9 O-1 O-/ O-2 O-% O-securities O-and O-used O-at X-- X-market O-pricing O-."
The issue brings Fannie Mae's 1989 Remic issuance to $30.2 billion and its total volume to $42.3 billion since the program began in April 1987.,O-The O-issue B-VBZ-brings O-Fan X-##nie O-Mae O-' X-s O-1989 O-Re X-##mic O-is X-##su X-##ance O-to O-$ O-30 X-. X-2 O-billion O-and O-its O-total O-volume O-to O-$ O-42 X-. X-3 O-billion O-since O-the O-program O-began O-in O-April O-1987 O-.
"Each $5,000 bond carries one warrant, exercisable from Nov. 16, 1989, through Oct. 19, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 24.","O-Each O-$ O-5 X-, X-000 O-bond B-VBZ-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. O-16 O-, O-1989 O-, O-through O-Oct X-. O-19 O-, O-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-2 O-1 O-/ O-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-24 O-."
"Each $5000 bond carries one warrant, exercisable from Nov. 15, 1989, to Oct. 18, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 23.","O-Each O-$ O-5000 O-bond B-VBZ-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. O-15 O-, O-1989 O-, O-to O-Oct X-. O-18 O-, O-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-2 O-1 O-/ O-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-23 O-."
"Each $5,000 bond carries one warrant, exercisable from May 8, 1991, through Oct. 8, 1994, to buy company shares at an expected premium of 75% to 85% to the closing share price when terms are fixed Oct. 18.","O-Each O-$ O-5 X-, X-000 O-bond B-VBZ-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-May O-8 O-, O-1991 O-, O-through O-Oct X-. O-8 O-, O-1994 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-75 O-% O-to O-85 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-18 O-."
The issue is rated triple-A by Moody's and triple-A by S&P.,O-The O-issue B-VBZ-is O-rated O-triple X-- X-A O-by O-Moody O-' X-s O-and O-triple X-- X-A O-by O-S O-& O-P O-.
"Payola is the practice of making illegal, undisclosed payments to radio station personnel in return for getting the stations to play certain songs over the air.","O-Pay X-##ola B-VBZ-is O-the O-practice O-of O-making O-illegal O-, O-undisclosed O-payments O-to O-radio O-station O-personnel O-in O-return O-for O-getting O-the O-stations O-to O-play O-certain O-songs O-over O-the O-air O-."
"As part of his plea agreement with the government, the 44-year-old Mr. Craig faces a maximum of three years in prison.","O-As O-part O-of O-his O-plea O-agreement O-with O-the O-government O-, O-the O-44 X-- X-year X-- X-old O-Mr X-. O-Craig B-VBZ-faces O-a O-maximum O-of O-three O-years O-in O-prison O-."
"In return, Mr. Craig agreed to cooperate in the government's continuing payola probe, says a spokeswoman for the U.S. attorney's office.","O-In O-return O-, O-Mr X-. O-Craig O-agreed O-to O-cooperate O-in O-the O-government O-' X-s O-continuing O-pay X-##ola O-probe O-, B-VBZ-says O-a O-spoke X-##s X-##woman O-for O-the O-U X-. X-S X-. O-attorney O-' X-s O-office O-."
NBC's winning streak has been canceled.,O-NBC O-' X-s O-winning O-streak B-VBZ-has O-been O-canceled O-.
"(A ratings point represents 904,000 television households; shares indicate the percentage of sets in use.)","O-( O-A O-ratings O-point B-VBZ-represents O-90 X-##4 X-, X-000 O-television O-households O-; O-shares O-indicate O-the O-percentage O-of O-sets O-in O-use O-. O-)"
"The highest-rated show continues to be ABC's ""Roseanne.""","O-The O-highest X-- X-rated O-show B-VBZ-continues O-to O-be O-ABC O-' X-s O-"" O-Rose X-##anne O-. O-"""
"Debora Foster takes off her necklace, settles herself on a padded chair and gently leans forward.","O-De X-##bor X-##a O-Foster B-VBZ-takes O-off O-her O-necklace O-, B-VBZ-settle X-##s O-herself O-on O-a O-padded O-chair O-and O-gently B-VBZ-leans O-forward O-."
"""It's like an oasis in this room,"" Ms. Foster purrs.","O-"" O-It B-VBZ-' X-s O-like O-an O-o X-##asis O-in O-this O-room O-, X-"" O-Ms O-. O-Foster O-pu X-##rr X-##s O-."
The room in question is the directors' lounge of H.J.,O-The O-room O-in O-question B-VBZ-is O-the O-directors X-' O-lounge O-of O-H X-. X-J O-.
"""On days that I'm really busy,"" says Ms. Foster, who works in public relations for the company, ""it seems decadent to take time off for a massage.""","O-"" O-On O-days O-that O-I O-' X-m O-really O-busy O-, X-"" B-VBZ-says O-Ms O-. O-Foster O-, O-who B-VBZ-works O-in O-public O-relations O-for O-the O-company O-, O-"" O-it B-VBZ-seems O-decade X-##nt O-to O-take O-time O-off O-for O-a O-massage O-. O-"""
"Although such sessions may never replace coffee breaks, on-site massage, as it is known in the trade, is certainly infiltrating corporate America.","O-Although O-such O-sessions O-may O-never O-replace O-coffee O-breaks O-, O-on X-- X-site O-massage O-, O-as O-it B-VBZ-is O-known O-in O-the O-trade O-, B-VBZ-is O-certainly O-in X-##fi X-##lt X-##rating O-corporate O-America O-."
"Ms. Foster's indulgence is nothing like the oily, hour-long rubfests enjoyed by spa visitors.","O-Ms O-. O-Foster O-' X-s O-in X-##du X-##lge X-##nce B-VBZ-is O-nothing O-like O-the O-oil X-##y O-, O-hour X-- X-long O-rub X-##fest X-##s O-enjoyed O-by O-spa O-visitors O-."
